Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-19T00:15:33Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Phillip Danault,Winner,Montréal Canadiens,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:15:45Z,1,00:07,19:53,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Max Pacioretty,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:16:15Z,1,00:18,19:42,Hit,n/a,-98.0,-13.0,Phillip Danault,Hitter,Montréal Canadiens,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:16:34Z,1,00:37,19:23,Blocked Shot,n/a,-66.0,19.0,Max Pacioretty,Blocker,Vegas Golden Knights,Shea Weber,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:05Z,1,01:08,18:52,Giveaway,n/a,-68.0,-41.0,Nick Holden,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:10Z,1,01:13,18:47,Giveaway,n/a,-53.0,18.0,Reilly Smith,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:14Z,1,01:17,18:43,Missed Shot,n/a,-58.0,33.0,Nick Suzuki,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:20Z,1,01:21,18:39,Takeaway,n/a,-28.0,-11.0,Reilly Smith,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:34Z,1,01:37,18:23,Blocked Shot,n/a,61.0,23.0,Nick Suzuki,Blocker,Montréal Canadiens,Chandler Stephenson,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:17:36Z,1,01:39,18:21,Giveaway,n/a,48.0,41.0,Nick Suzuki,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:18:03Z,1,01:45,18:15,Hit,n/a,96.0,-25.0,Marco Scandella,Hitter,Montréal Canadiens,Reilly Smith,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:18:17Z,1,02:20,17:40,Hit,n/a,80.0,-38.0,Alex Tuch,Hitter,Vegas Golden Knights,Brett Kulak,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:18:38Z,1,02:33,17:27,Hit,n/a,-35.0,41.0,Artturi Lehkonen,Hitter,Montréal Canadiens,Tomas Nosek,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:18:50Z,1,02:51,17:09,Hit,n/a,-12.0,-40.0,William Carrier,Hitter,Vegas Golden Knights,Victor Mete,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:18:58Z,1,02:59,17:01,Giveaway,n/a,69.0,-40.0,Nate Thompson,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:04Z,1,03:06,16:54,Hit,n/a,95.0,29.0,Ryan Reaves,Hitter,Vegas Golden Knights,Victor Mete,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:16Z,1,03:09,16:51,Hit,n/a,32.0,-38.0,Nicolas Roy,Hitter,Vegas Golden Knights,Nick Cousins,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:26Z,1,03:29,16:31,Blocked Shot,n/a,-67.0,-4.0,Paul Stastny,Blocker,Vegas Golden Knights,Nate Thompson,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:39Z,1,03:42,16:18,Blocked Shot,n/a,74.0,13.0,Jeff Petry,Blocker,Montréal Canadiens,Paul Stastny,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:50Z,1,03:53,16:07,Shot,Slap Shot,-81.0,34.0,Phillip Danault,Shooter,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:52Z,1,03:55,16:05,Giveaway,n/a,-65.0,41.0,Nate Schmidt,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:22Z,1,03:57,16:03,Giveaway,n/a,-38.0,39.0,Nate Schmidt,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:33Z,1,03:58,16:02,Takeaway,n/a,-65.0,40.0,Nate Schmidt,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:26Z,1,04:04,15:56,Faceoff,n/a,-20.0,-22.0,Chandler Stephenson,Winner,Vegas Golden Knights,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:58Z,1,04:36,15:24,Giveaway,n/a,34.0,4.0,Max Domi,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:21:05Z,1,04:40,15:20,Shot,Wrist Shot,56.0,-17.0,Nick Holden,Shooter,Vegas Golden Knights,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:21:29Z,1,04:41,15:19,Faceoff,n/a,69.0,-22.0,Nate Thompson,Winner,Montréal Canadiens,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:30Z,1,05:26,14:34,Hit,n/a,-5.0,-40.0,Tomas Nosek,Hitter,Vegas Golden Knights,Brett Kulak,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:39Z,1,05:35,14:25,Hit,n/a,-83.0,-37.0,Jesperi Kotkaniemi,Hitter,Montréal Canadiens,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:25:47Z,1,05:48,14:12,Giveaway,n/a,-99.0,10.0,Nicolas Hague,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:57Z,1,05:51,14:09,Goal,Wrist Shot,-80.0,-1.0,Nick Cousins,Scorer,Montréal Canadiens,Dale Weise,Assist,Montréal Canadiens,Nate Thompson,Assist,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2020-01-19T00:23:40Z,1,05:51,14:09,Faceoff,n/a,0.0,0.0,Nicolas Roy,Winner,Vegas Golden Knights,Nate Thompson,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:57Z,1,06:00,14:00,Hit,n/a,98.0,-11.0,William Carrier,Hitter,Vegas Golden Knights,Jeff Petry,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:24:16Z,1,06:20,13:40,Hit,n/a,84.0,36.0,Dale Weise,Hitter,Montréal Canadiens,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:24:51Z,1,06:23,13:37,Penalty,Hooking,97.0,16.0,William Carrier,PenaltyOn,Vegas Golden Knights,Marco Scandella,DrewBy,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:26:41Z,1,06:23,13:37,Faceoff,n/a,-69.0,-22.0,Max Domi,Winner,Montréal Canadiens,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:27:02Z,1,06:38,13:22,Takeaway,n/a,-81.0,26.0,Brayden McNabb,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:27:14Z,1,06:51,13:09,Giveaway,n/a,-22.0,14.0,Ilya Kovalchuk,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:27:55Z,1,07:21,12:39,Faceoff,n/a,69.0,22.0,Cody Eakin,Winner,Vegas Golden Knights,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:03Z,1,07:28,12:32,Shot,Slap Shot,35.0,31.0,Nate Schmidt,Shooter,Vegas Golden Knights,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:36Z,1,07:49,12:11,Takeaway,n/a,-70.0,-32.0,Nick Suzuki,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:30Z,1,07:55,12:05,Blocked Shot,n/a,-72.0,-7.0,Tomas Nosek,Blocker,Vegas Golden Knights,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:52Z,1,08:16,11:44,Shot,Slap Shot,-66.0,-28.0,Nick Suzuki,Shooter,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:57Z,1,08:22,11:38,Giveaway,n/a,-32.0,-36.0,Tomas Nosek,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:29:12Z,1,08:37,11:23,Missed Shot,n/a,-75.0,-4.0,Tomas Tatar,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:29:31Z,1,08:54,11:06,Shot,Wrist Shot,32.0,-23.0,William Carrier,Shooter,Vegas Golden Knights,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:29:54Z,1,08:55,11:05,Faceoff,n/a,69.0,-22.0,Artturi Lehkonen,Winner,Montréal Canadiens,Chandler Stephenson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:30:29Z,1,09:13,10:47,Missed Shot,n/a,56.0,8.0,Chandler Stephenson,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:30:32Z,1,09:16,10:44,Hit,n/a,-6.0,-40.0,Deryk Engelland,Hitter,Vegas Golden Knights,Dale Weise,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:30:37Z,1,09:19,10:41,Shot,Wrist Shot,62.0,-21.0,Max Pacioretty,Shooter,Vegas Golden Knights,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:43:41Z,1,09:20,10:40,Faceoff,n/a,69.0,-22.0,Alex Tuch,Winner,Vegas Golden Knights,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:31:21Z,1,09:28,10:32,Missed Shot,n/a,76.0,24.0,Paul Stastny,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
