Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-19T17:38:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:38:32Z,1,00:11,19:49,Goal,Wrist Shot,-73.0,11.0,Patrice Bergeron,Scorer,Boston Bruins,David Pastrnak,Assist,Boston Bruins,Brandon Carlo,Assist,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins
2020-01-19T17:39:06Z,1,00:11,19:49,Faceoff,n/a,0.0,0.0,David Pastrnak,Winner,Boston Bruins,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:40:06Z,1,01:00,19:00,Hit,n/a,-98.0,-14.0,Sean Kuraly,Hitter,Boston Bruins,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:40:17Z,1,01:11,18:49,Hit,n/a,-96.0,19.0,Joakim Nordstrom,Hitter,Boston Bruins,Jack Johnson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:40:41Z,1,01:35,18:25,Giveaway,n/a,-97.0,4.0,Matt Murray,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:40:47Z,1,01:41,18:19,Shot,Wrist Shot,-79.0,4.0,Joakim Nordstrom,Shooter,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:41:03Z,1,01:42,18:18,Shot,Wrist Shot,74.0,2.0,Jared McCann,Shooter,Pittsburgh Penguins,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:40:59Z,1,01:53,18:07,Hit,n/a,0.0,2.0,Anders Bjork,Hitter,Boston Bruins,Juuso Riikola,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:41:15Z,1,02:02,17:58,Goal,Wrist Shot,-62.0,-1.0,Anders Bjork,Scorer,Boston Bruins,Charlie Coyle,Assist,Boston Bruins,Jake DeBrusk,Assist,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins
2020-01-19T17:41:56Z,1,02:02,17:58,Faceoff,n/a,0.0,0.0,Charlie Coyle,Winner,Boston Bruins,Andrew Agozzino,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:42:08Z,1,02:04,17:56,Shot,Wrist Shot,-7.0,1.0,Brandon Carlo,Shooter,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:42:31Z,1,02:30,17:30,Hit,n/a,-77.0,38.0,Anders Bjork,Hitter,Boston Bruins,Juuso Riikola,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:42:57Z,1,02:56,17:04,Blocked Shot,n/a,-71.0,-7.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,Danton Heinen,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:43:09Z,1,03:06,16:54,Shot,Snap Shot,47.0,-5.0,John Marino,Shooter,Pittsburgh Penguins,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:43:34Z,1,03:07,16:53,Faceoff,n/a,69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:44:03Z,1,03:31,16:29,Missed Shot,n/a,-89.0,-11.0,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:44:18Z,1,03:47,16:13,Shot,Wrist Shot,-44.0,-17.0,Patrice Bergeron,Shooter,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:44:23Z,1,03:50,16:10,Shot,Wrist Shot,-80.0,28.0,David Pastrnak,Shooter,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:44:57Z,1,03:51,16:09,Faceoff,n/a,-69.0,22.0,Charlie Coyle,Winner,Boston Bruins,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:45:09Z,1,04:13,15:47,Blocked Shot,n/a,-55.0,-16.0,Juuso Riikola,Blocker,Pittsburgh Penguins,Jake DeBrusk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:45:25Z,1,04:28,15:32,Blocked Shot,n/a,-45.0,-4.0,Dominik Simon,Blocker,Pittsburgh Penguins,Charlie Coyle,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T17:45:37Z,1,04:41,15:19,Shot,Slap Shot,-22.0,-18.0,Torey Krug,Shooter,Boston Bruins,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
