Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-19T00:17:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:33Z,1,00:13,19:47,Blocked Shot,n/a,66.0,-19.0,Andreas Johnsson,Blocker,Toronto Maple Leafs,Jonathan Toews,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:19:43Z,1,00:19,19:41,Missed Shot,n/a,70.0,1.0,Dominik Kubalik,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:06Z,1,00:21,19:39,Goal,Wrist Shot,83.0,11.0,Drake Caggiula,Scorer,Chicago Blackhawks,Dominik Kubalik,Assist,Chicago Blackhawks,Connor Murphy,Assist,Chicago Blackhawks,Frederik Andersen,Goalie,Toronto Maple Leafs
2020-01-19T00:20:25Z,1,00:21,19:39,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Ryan Carpenter,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:20:54Z,1,00:55,19:05,Missed Shot,n/a,31.0,36.0,Duncan Keith,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:21:55Z,1,01:56,18:04,Hit,n/a,69.0,40.0,Cody Ceci,Hitter,Toronto Maple Leafs,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:02Z,1,02:02,17:58,Hit,n/a,76.0,41.0,Cody Ceci,Hitter,Toronto Maple Leafs,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:32Z,1,02:33,17:27,Giveaway,n/a,-45.0,-38.0,Alex Nylander,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:22:40Z,1,02:35,17:25,Takeaway,n/a,-79.0,-38.0,Connor Murphy,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:03Z,1,03:04,16:56,Takeaway,n/a,25.0,-31.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:12Z,1,03:13,16:47,Hit,n/a,92.0,29.0,Drake Caggiula,Hitter,Chicago Blackhawks,Tyson Barrie,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:23Z,1,03:24,16:36,Shot,Wrist Shot,51.0,19.0,Duncan Keith,Shooter,Chicago Blackhawks,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:24Z,1,03:25,16:35,Hit,n/a,-18.0,-5.0,Jonathan Toews,Hitter,Chicago Blackhawks,Andreas Johnsson,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:23:56Z,1,03:25,16:35,Faceoff,n/a,69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Ryan Carpenter,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:24:05Z,1,03:35,16:25,Hit,n/a,21.0,-40.0,Slater Koekkoek,Hitter,Chicago Blackhawks,Zach Hyman,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:24:12Z,1,03:42,16:18,Hit,n/a,3.0,0.0,Ryan Carpenter,Hitter,Chicago Blackhawks,Mitchell Marner,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T01:07:31Z,1,04:04,15:56,Blocked Shot,n/a,-78.0,-1.0,Slater Koekkoek,Blocker,Chicago Blackhawks,Travis Dermott,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:24:48Z,1,04:16,15:44,Shot,Wrist Shot,56.0,7.0,Brandon Saad,Shooter,Chicago Blackhawks,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:25:22Z,1,04:52,15:08,Missed Shot,n/a,84.0,10.0,Kirby Dach,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:26:01Z,1,05:32,14:28,Goal,Wrist Shot,76.0,-14.0,Jonathan Toews,Scorer,Chicago Blackhawks,Erik Gustafsson,Assist,Chicago Blackhawks,Alex Nylander,Assist,Chicago Blackhawks,Frederik Andersen,Goalie,Toronto Maple Leafs
2020-01-19T00:27:01Z,1,05:32,14:28,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Zack Smith,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:27:10Z,1,05:48,14:12,Shot,Wrist Shot,-67.0,-11.0,Auston Matthews,Shooter,Toronto Maple Leafs,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:27:44Z,1,06:22,13:38,Missed Shot,n/a,29.0,-18.0,Slater Koekkoek,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-19T00:28:20Z,1,06:58,13:02,Shot,Wrist Shot,-33.0,-22.0,Martin Marincin,Shooter,Toronto Maple Leafs,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
