Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-20T00:08:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:09:09Z,1,00:06,19:54,Faceoff,n/a,20.0,22.0,Ryan Strome,Winner,New York Rangers,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:09:29Z,1,00:13,19:47,Hit,n/a,9.0,-39.0,Jesper Fast,Hitter,New York Rangers,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:09:45Z,1,00:31,19:29,Shot,Wrist Shot,53.0,30.0,Seth Jones,Shooter,Columbus Blue Jackets,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:09:58Z,1,00:45,19:15,Hit,n/a,-96.0,17.0,Alexander Wennberg,Hitter,Columbus Blue Jackets,Jesper Fast,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:10:39Z,1,01:26,18:34,Giveaway,n/a,32.0,-27.0,Vladislav Gavrikov,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:10:48Z,1,01:35,18:25,Blocked Shot,n/a,-67.0,3.0,David Savard,Blocker,Columbus Blue Jackets,Mika Zibanejad,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:10:55Z,1,01:42,18:18,Hit,n/a,45.0,-38.0,Marc Staal,Hitter,New York Rangers,Vladislav Gavrikov,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:11:10Z,1,01:57,18:03,Shot,Wrist Shot,4.0,40.0,Tony DeAngelo,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:11:19Z,1,02:05,17:55,Giveaway,n/a,-4.0,41.0,Tony DeAngelo,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:11:27Z,1,02:08,17:52,Shot,Wrist Shot,66.0,3.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:11:41Z,1,02:09,17:51,Faceoff,n/a,69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:12:20Z,1,02:12,17:48,Missed Shot,n/a,65.0,16.0,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:12:06Z,1,02:16,17:44,Shot,Slap Shot,51.0,-38.0,Seth Jones,Shooter,Columbus Blue Jackets,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:12:43Z,1,02:53,17:07,Hit,n/a,46.0,39.0,Brendan Smith,Hitter,New York Rangers,Riley Nash,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:13:10Z,1,03:19,16:41,Hit,n/a,-3.0,-39.0,Brady Skjei,Hitter,New York Rangers,Markus Nutivaara,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:13:41Z,1,03:40,16:20,Faceoff,n/a,-69.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:14:02Z,1,03:48,16:12,Shot,Wrist Shot,-46.0,10.0,Ryan Strome,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:14:57Z,1,04:43,15:17,Blocked Shot,n/a,-65.0,-26.0,David Savard,Blocker,Columbus Blue Jackets,Filip Chytil,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:15:32Z,1,05:17,14:43,Hit,n/a,97.0,-5.0,Gustav Nyquist,Hitter,Columbus Blue Jackets,Adam Fox,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:15:40Z,1,05:25,14:35,Giveaway,n/a,38.0,-38.0,Brett Howden,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:15:41Z,1,05:27,14:33,Blocked Shot,n/a,71.0,-18.0,Ryan Lindgren,Blocker,New York Rangers,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:16:04Z,1,05:35,14:25,Faceoff,n/a,69.0,22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:16:22Z,1,05:39,14:21,Shot,Slap Shot,37.0,20.0,Markus Nutivaara,Shooter,Columbus Blue Jackets,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:16:34Z,1,05:49,14:11,Shot,Backhand,75.0,-13.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:16:47Z,1,05:49,14:11,Faceoff,n/a,69.0,-22.0,Riley Nash,Winner,Columbus Blue Jackets,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:17:10Z,1,06:00,14:00,Shot,Wrist Shot,-46.0,-36.0,Brady Skjei,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:17:51Z,1,06:41,13:19,Missed Shot,n/a,-61.0,14.0,Greg McKegg,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:18:13Z,1,07:03,12:57,Missed Shot,n/a,-89.0,-20.0,Greg McKegg,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:18:15Z,1,07:05,12:55,Hit,n/a,-97.0,5.0,Brendan Lemieux,Hitter,New York Rangers,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:18:31Z,1,07:21,12:39,Missed Shot,n/a,-60.0,2.0,Tony DeAngelo,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:18:38Z,1,07:25,12:35,Missed Shot,n/a,-58.0,39.0,Tony DeAngelo,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:20:28Z,1,07:26,12:34,Faceoff,n/a,-69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:21:04Z,1,07:35,12:25,Hit,n/a,4.0,-37.0,Boone Jenner,Hitter,Columbus Blue Jackets,Ryan Lindgren,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:21:31Z,1,08:03,11:57,Shot,Wrist Shot,-63.0,-30.0,Artemi Panarin,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:21:41Z,1,08:13,11:47,Takeaway,n/a,-75.0,-6.0,Nick Foligno,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:22:05Z,1,08:37,11:23,Shot,Wrist Shot,-13.0,37.0,Mika Zibanejad,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:22:11Z,1,08:43,11:17,Shot,Slap Shot,-51.0,31.0,Mika Zibanejad,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:22:36Z,1,09:08,10:52,Blocked Shot,n/a,-74.0,-2.0,David Savard,Blocker,Columbus Blue Jackets,Marc Staal,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:22:47Z,1,09:19,10:41,Hit,n/a,65.0,12.0,Jacob Trouba,Hitter,New York Rangers,Oliver Bjorkstrand,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:23:19Z,1,09:50,10:10,Hit,n/a,-96.0,4.0,Brett Howden,Hitter,New York Rangers,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:24:09Z,1,10:41,09:19,Hit,n/a,-72.0,40.0,Markus Nutivaara,Hitter,Columbus Blue Jackets,Artemi Panarin,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:26:13Z,1,10:47,09:13,Faceoff,n/a,0.0,0.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:26:48Z,1,10:58,09:02,Blocked Shot,n/a,64.0,3.0,Jacob Trouba,Blocker,New York Rangers,Cam Atkinson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:27:00Z,1,10:59,09:01,Faceoff,n/a,69.0,22.0,Ryan Strome,Winner,New York Rangers,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:28:01Z,1,11:51,08:09,Takeaway,n/a,-73.0,39.0,Pierre-Luc Dubois,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:28:20Z,1,12:09,07:51,Shot,Wrist Shot,-65.0,-23.0,Brett Howden,Shooter,New York Rangers,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:28:28Z,1,12:11,07:49,Hit,n/a,-96.0,-5.0,Pierre-Luc Dubois,Hitter,Columbus Blue Jackets,Kaapo Kakko,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:28:51Z,1,12:11,07:49,Faceoff,n/a,-69.0,-22.0,Brendan Smith,Winner,New York Rangers,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:29:27Z,1,12:27,07:33,Missed Shot,n/a,-75.0,-2.0,Brendan Smith,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:29:33Z,1,12:33,07:27,Hit,n/a,-91.0,-30.0,Brendan Smith,Hitter,New York Rangers,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-20T00:30:00Z,1,13:00,07:00,Hit,n/a,95.0,9.0,Riley Nash,Hitter,Columbus Blue Jackets,Ryan Lindgren,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
