Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-22T00:08:13Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brock Nelson,Winner,New York Islanders,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:09:23Z,1,00:29,19:31,Blocked Shot,n/a,65.0,-13.0,Pavel Buchnevich,Blocker,New York Rangers,Ryan Pulock,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:09:27Z,1,00:34,19:26,Giveaway,n/a,90.0,-32.0,Anthony Beauvillier,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:09:48Z,1,00:54,19:06,Hit,n/a,-85.0,36.0,Jesper Fast,Hitter,New York Rangers,Scott Mayfield,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:09:57Z,1,01:04,18:56,Hit,n/a,52.0,-39.0,Ryan Lindgren,Hitter,New York Rangers,Casey Cizikas,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:10:12Z,1,01:19,18:41,Hit,n/a,86.0,36.0,Brendan Smith,Hitter,New York Rangers,Matt Martin,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:10:21Z,1,01:27,18:33,Hit,n/a,97.0,21.0,Matt Martin,Hitter,New York Islanders,Brendan Smith,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:10:29Z,1,01:31,18:29,Blocked Shot,n/a,73.0,7.0,Greg McKegg,Blocker,New York Rangers,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:10:40Z,1,01:31,18:29,Faceoff,n/a,69.0,22.0,Anders Lee,Winner,New York Islanders,Chris Kreider,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:11:36Z,1,02:00,18:00,Giveaway,n/a,96.0,-5.0,Tony DeAngelo,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:11:45Z,1,02:05,17:55,Missed Shot,n/a,76.0,1.0,Jordan Eberle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:12:29Z,1,02:53,17:07,Missed Shot,n/a,-86.0,14.0,Filip Chytil,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:12:35Z,1,02:54,17:06,Shot,Wrist Shot,-63.0,21.0,Jacob Trouba,Shooter,New York Rangers,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:12:52Z,1,02:55,17:05,Faceoff,n/a,-69.0,22.0,Brock Nelson,Winner,New York Islanders,Pavel Buchnevich,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:13:33Z,1,03:23,16:37,Giveaway,n/a,-84.0,-36.0,Scott Mayfield,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:13:32Z,1,03:24,16:36,Shot,Tip-In,-73.0,1.0,Pavel Buchnevich,Shooter,New York Rangers,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:13:58Z,1,03:51,16:09,Hit,n/a,-38.0,-39.0,Casey Cizikas,Hitter,New York Islanders,Marc Staal,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:14:10Z,1,04:02,15:58,Takeaway,n/a,69.0,30.0,Casey Cizikas,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:14:13Z,1,04:05,15:55,Blocked Shot,n/a,66.0,8.0,Marc Staal,Blocker,New York Rangers,Matt Martin,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:14:47Z,1,04:38,15:22,Shot,Wrist Shot,-66.0,36.0,Kaapo Kakko,Shooter,New York Rangers,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:15:06Z,1,04:39,15:21,Faceoff,n/a,-69.0,22.0,Anders Lee,Winner,New York Islanders,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:15:40Z,1,05:03,14:57,Shot,Wrist Shot,47.0,12.0,Nick Leddy,Shooter,New York Islanders,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:16:00Z,1,05:04,14:56,Faceoff,n/a,69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Derick Brassard,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:16:38Z,1,05:20,14:40,Giveaway,n/a,-54.0,-40.0,Tom Kuhnhackl,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:16:33Z,1,05:23,14:37,Missed Shot,n/a,-76.0,1.0,Chris Kreider,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:16:59Z,1,05:49,14:11,Missed Shot,n/a,-67.0,34.0,Brendan Smith,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:17:38Z,1,06:28,13:32,Giveaway,n/a,-56.0,-39.0,Anthony Beauvillier,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
