Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-22T00:40:28Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:41:50Z,1,00:33,19:27,Hit,n/a,37.0,-38.0,Travis Sanheim,Hitter,Philadelphia Flyers,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:42:05Z,1,00:40,19:20,Faceoff,n/a,69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:42:30Z,1,00:48,19:12,Giveaway,n/a,94.0,23.0,Philippe Myers,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:42:31Z,1,00:49,19:11,Shot,Wrist Shot,50.0,40.0,Jared McCann,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:42:39Z,1,00:49,19:11,Faceoff,n/a,69.0,22.0,Claude Giroux,Winner,Philadelphia Flyers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:43:07Z,1,01:05,18:55,Shot,Wrist Shot,-33.0,39.0,Philippe Myers,Shooter,Philadelphia Flyers,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:43:17Z,1,01:15,18:45,Hit,n/a,-71.0,38.0,Jared McCann,Hitter,Pittsburgh Penguins,Philippe Myers,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:02Z,1,01:59,18:01,Hit,n/a,-61.0,-38.0,Nicolas Aube-Kubel,Hitter,Philadelphia Flyers,Juuso Riikola,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:08Z,1,02:06,17:54,Missed Shot,n/a,-79.0,5.0,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:14Z,1,02:12,17:48,Missed Shot,n/a,-34.0,-35.0,Scott Laughton,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:17Z,1,02:15,17:45,Hit,n/a,-57.0,40.0,Zach Aston-Reese,Hitter,Pittsburgh Penguins,Nicolas Aube-Kubel,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:34Z,1,02:31,17:29,Hit,n/a,-63.0,-37.0,Kris Letang,Hitter,Pittsburgh Penguins,Nicolas Aube-Kubel,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:44:48Z,1,02:45,17:15,Shot,Wrist Shot,-68.0,39.0,Tyler Pitlick,Shooter,Philadelphia Flyers,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:45:07Z,1,02:46,17:14,Faceoff,n/a,-69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:49:07Z,1,03:12,16:48,Missed Shot,n/a,35.0,22.0,Dominik Simon,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:46:18Z,1,03:46,16:14,Giveaway,n/a,-94.0,27.0,Travis Konecny,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:46:24Z,1,03:55,16:05,Hit,n/a,95.0,21.0,Travis Sanheim,Hitter,Philadelphia Flyers,Jared McCann,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:46:49Z,1,04:20,15:40,Shot,Wrist Shot,76.0,39.0,Brandon Tanev,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:47:08Z,1,04:22,15:38,Missed Shot,n/a,76.0,3.0,Teddy Blueger,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:46:57Z,1,04:26,15:34,Hit,n/a,95.0,18.0,Zach Aston-Reese,Hitter,Pittsburgh Penguins,Kevin Hayes,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:46:59Z,1,04:30,15:30,Hit,n/a,65.0,39.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-22T00:47:08Z,1,04:39,15:21,Shot,Wrist Shot,25.0,15.0,Zach Aston-Reese,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
