Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-23T00:42:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:42:49Z,1,00:13,19:47,Hit,n/a,-98.0,-2.0,Blake Wheeler,Hitter,Winnipeg Jets,Oliver Bjorkstrand,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:43:05Z,1,00:30,19:30,Shot,Wrist Shot,58.0,0.0,Nick Foligno,Shooter,Columbus Blue Jackets,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:43:22Z,1,00:30,19:30,Faceoff,n/a,69.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:44:11Z,1,01:08,18:52,Shot,Wrist Shot,74.0,10.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:44:28Z,1,01:25,18:35,Blocked Shot,n/a,-39.0,28.0,Boone Jenner,Blocker,Columbus Blue Jackets,Patrik Laine,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:44:39Z,1,01:36,18:24,Hit,n/a,-97.0,3.0,Mason Appleton,Hitter,Winnipeg Jets,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:44:55Z,1,01:52,18:08,Missed Shot,n/a,-46.0,-21.0,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:45:04Z,1,02:00,18:00,Hit,n/a,-97.0,11.0,Markus Nutivaara,Hitter,Columbus Blue Jackets,Mason Appleton,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:45:28Z,1,02:24,17:36,Shot,Wrist Shot,40.0,26.0,Eric Robinson,Shooter,Columbus Blue Jackets,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:45:39Z,1,02:36,17:24,Missed Shot,n/a,83.0,12.0,Riley Nash,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:45:43Z,1,02:40,17:20,Missed Shot,n/a,64.0,-39.0,David Savard,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:45:52Z,1,02:48,17:12,Hit,n/a,87.0,35.0,Eric Robinson,Hitter,Columbus Blue Jackets,Sami Niku,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:46:21Z,1,03:04,16:56,Faceoff,n/a,-20.0,-22.0,Blake Wheeler,Winner,Winnipeg Jets,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:47:13Z,1,03:48,16:12,Blocked Shot,n/a,44.0,13.0,Patrik Laine,Blocker,Winnipeg Jets,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:47:36Z,1,04:11,15:49,Shot,Wrist Shot,84.0,-18.0,Zach Werenski,Shooter,Columbus Blue Jackets,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:48:03Z,1,04:17,15:43,Faceoff,n/a,-20.0,-22.0,Andrew Copp,Winner,Winnipeg Jets,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:48:17Z,1,04:30,15:30,Takeaway,n/a,-97.0,11.0,Mathieu Perreault,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:48:27Z,1,04:38,15:22,Blocked Shot,n/a,-59.0,-14.0,Scott Harrington,Blocker,Columbus Blue Jackets,Mathieu Perreault,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:48:31Z,1,04:38,15:22,Goal,Snap Shot,-75.0,3.0,Mason Appleton,Scorer,Winnipeg Jets,Mathieu Perreault,Assist,Winnipeg Jets,Luca Sbisa,Assist,Winnipeg Jets,Elvis Merzlikins,Goalie,Columbus Blue Jackets
2020-01-23T00:49:09Z,1,04:38,15:22,Faceoff,n/a,0.0,0.0,Riley Nash,Winner,Columbus Blue Jackets,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:49:59Z,1,05:19,14:41,Hit,n/a,-10.0,40.0,Riley Nash,Hitter,Columbus Blue Jackets,Gabriel Bourque,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:50:09Z,1,05:31,14:29,Hit,n/a,-48.0,-40.0,Blake Wheeler,Hitter,Winnipeg Jets,Pierre-Luc Dubois,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:50:33Z,1,05:53,14:07,Hit,n/a,82.0,38.0,Pierre-Luc Dubois,Hitter,Columbus Blue Jackets,Jack Roslovic,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:50:40Z,1,06:00,14:00,Blocked Shot,n/a,72.0,-4.0,Neal Pionk,Blocker,Winnipeg Jets,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:50:48Z,1,06:06,13:54,Goal,Wrist Shot,87.0,8.0,Seth Jones,Scorer,Columbus Blue Jackets,Nick Foligno,Assist,Columbus Blue Jackets,Pierre-Luc Dubois,Assist,Columbus Blue Jackets,Laurent Brossoit,Goalie,Winnipeg Jets
2020-01-23T00:51:30Z,1,06:06,13:54,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-23T00:52:12Z,1,06:24,13:36,Faceoff,n/a,69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Gustav Nyquist,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
