Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-28T00:08:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Lars Eller,Winner,Washington Capitals,Nate Thompson,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:08:53Z,1,00:18,19:42,Shot,Wrist Shot,-51.0,-33.0,Marco Scandella,Shooter,Montréal Canadiens,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:09:22Z,1,00:19,19:41,Faceoff,n/a,-69.0,-22.0,Nicklas Backstrom,Winner,Washington Capitals,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:10:20Z,1,01:10,18:50,Faceoff,n/a,20.0,22.0,Jakub Vrana,Winner,Washington Capitals,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:11:08Z,1,01:37,18:23,Giveaway,n/a,73.0,40.0,Jeff Petry,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:11:12Z,1,01:41,18:19,Shot,Wrist Shot,73.0,10.0,Jakub Vrana,Shooter,Washington Capitals,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:11:28Z,1,01:55,18:05,Goal,Backhand,-80.0,-3.0,Jeff Petry,Scorer,Montréal Canadiens,Tomas Tatar,Assist,Montréal Canadiens,Marco Scandella,Assist,Montréal Canadiens,Braden Holtby,Goalie,Washington Capitals
2020-01-28T00:12:39Z,1,01:55,18:05,Faceoff,n/a,0.0,0.0,Nic Dowd,Winner,Washington Capitals,Jesperi Kotkaniemi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:12:36Z,1,02:16,17:44,Hit,n/a,-97.0,14.0,Garnet Hathaway,Hitter,Washington Capitals,Artturi Lehkonen,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:12:57Z,1,02:41,17:19,Missed Shot,n/a,-65.0,-5.0,Nick Cousins,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:13:01Z,1,02:42,17:18,Giveaway,n/a,-31.0,-38.0,Jonas Siegenthaler,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:13:11Z,1,02:45,17:15,Missed Shot,n/a,-34.0,-37.0,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:13:10Z,1,02:52,17:08,Giveaway,n/a,-37.0,40.0,Radko Gudas,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:13:50Z,1,03:04,16:56,Faceoff,n/a,-20.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:14:03Z,1,03:09,16:51,Shot,Tip-In,68.0,-2.0,Carl Hagelin,Shooter,Washington Capitals,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:14:21Z,1,03:13,16:47,Faceoff,n/a,69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:14:58Z,1,03:29,16:31,Penalty,Holding,20.0,-11.0,Victor Mete,PenaltyOn,Montréal Canadiens,Lars Eller,DrewBy,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:15:35Z,1,03:29,16:31,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:15:51Z,1,03:53,16:07,Missed Shot,n/a,54.0,4.0,Tom Wilson,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:16:10Z,1,03:54,16:06,Faceoff,n/a,69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T00:16:57Z,1,04:33,15:27,Hit,n/a,38.0,39.0,Jeff Petry,Hitter,Montréal Canadiens,Brendan Leipsic,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
