Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-28T03:08:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:08:42Z,1,00:22,19:38,Shot,Deflected,76.0,-3.0,Ryan O'Reilly,Shooter,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:08:52Z,1,00:29,19:31,Hit,n/a,99.0,-11.0,David Perron,Hitter,St. Louis Blues,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:08:59Z,1,00:39,19:21,Blocked Shot,n/a,70.0,-7.0,Oscar Fantenberg,Blocker,Vancouver Canucks,Justin Faulk,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:09:09Z,1,00:49,19:11,Shot,Wrist Shot,-73.0,10.0,Jake Virtanen,Shooter,Vancouver Canucks,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:09:52Z,1,01:26,18:34,Faceoff,n/a,69.0,-22.0,Tyler Bozak,Winner,St. Louis Blues,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:10:51Z,1,01:32,18:28,Shot,Wrist Shot,51.0,1.0,Tyler Bozak,Shooter,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:10:57Z,1,01:36,18:24,Giveaway,n/a,69.0,40.0,Adam Gaudette,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:11:10Z,1,01:38,18:22,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Robert Thomas,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:08Z,1,02:18,17:42,Hit,n/a,67.0,-40.0,Tyler Motte,Hitter,Vancouver Canucks,Robert Bortuzzo,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:23Z,1,02:33,17:27,Blocked Shot,n/a,76.0,0.0,Troy Stecher,Blocker,Vancouver Canucks,Ivan Barbashev,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:41Z,1,02:50,17:10,Takeaway,n/a,92.0,-29.0,David Perron,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:44Z,1,02:53,17:07,Shot,Slap Shot,33.0,-23.0,Alex Pietrangelo,Shooter,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:54Z,1,03:03,16:57,Giveaway,n/a,73.0,-36.0,Quinn Hughes,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:12:57Z,1,03:06,16:54,Goal,Slap Shot,83.0,-7.0,Zach Sanford,Scorer,St. Louis Blues,David Perron,Assist,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a
2020-01-28T03:13:41Z,1,03:06,16:54,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:14:10Z,1,03:28,16:32,Shot,Deflected,-79.0,0.0,Loui Eriksson,Shooter,Vancouver Canucks,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:14:14Z,1,03:29,16:31,Shot,Wrist Shot,-83.0,0.0,Loui Eriksson,Shooter,Vancouver Canucks,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:14:38Z,1,03:58,16:02,Shot,Snap Shot,57.0,-1.0,Justin Faulk,Shooter,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:14:47Z,1,04:07,15:53,Shot,Backhand,-80.0,0.0,Elias Pettersson,Shooter,Vancouver Canucks,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:15:06Z,1,04:26,15:34,Missed Shot,n/a,65.0,8.0,Zach Sanford,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:15:10Z,1,04:30,15:30,Hit,n/a,92.0,32.0,Zach Sanford,Hitter,St. Louis Blues,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:15:16Z,1,04:36,15:24,Missed Shot,n/a,54.0,-1.0,David Perron,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:15:41Z,1,05:01,14:59,Hit,n/a,-70.0,41.0,Tyler Motte,Hitter,Vancouver Canucks,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:16:39Z,1,05:40,14:20,Faceoff,n/a,-20.0,22.0,Jacob de la Rose,Winner,St. Louis Blues,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:16:53Z,1,05:48,14:12,Takeaway,n/a,-17.0,-39.0,Oscar Fantenberg,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:17:13Z,1,05:58,14:02,Faceoff,n/a,69.0,22.0,Adam Gaudette,Winner,Vancouver Canucks,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:17:35Z,1,06:04,13:56,Hit,n/a,94.0,20.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Jordan Kyrou,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:17:54Z,1,06:23,13:37,Blocked Shot,n/a,-72.0,-2.0,Justin Faulk,Blocker,St. Louis Blues,Jake Virtanen,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:18:00Z,1,06:30,13:30,Shot,Wrist Shot,65.0,1.0,Brayden Schenn,Shooter,St. Louis Blues,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:18:48Z,1,07:18,12:42,Hit,n/a,93.0,30.0,Alexander Edler,Hitter,Vancouver Canucks,Jacob de la Rose,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:20:39Z,1,07:28,12:32,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:21:19Z,1,07:41,12:19,Hit,n/a,93.0,-31.0,Zach Sanford,Hitter,St. Louis Blues,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:21:27Z,1,07:49,12:11,Blocked Shot,n/a,44.0,-19.0,Tyler Motte,Blocker,Vancouver Canucks,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:21:36Z,1,07:58,12:02,Missed Shot,n/a,32.0,29.0,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:22:21Z,1,08:24,11:36,Penalty,Too many men on the ice,17.0,39.0,Quinn Hughes,PenaltyOn,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:22:52Z,1,08:24,11:36,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:24:00Z,1,09:44,10:16,Blocked Shot,n/a,62.0,-8.0,Oscar Fantenberg,Blocker,Vancouver Canucks,Tyler Bozak,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:24:30Z,1,10:14,09:46,Hit,n/a,86.0,35.0,Tyler Myers,Hitter,Vancouver Canucks,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:24:58Z,1,10:43,09:17,Shot,Deflected,-77.0,0.0,Elias Pettersson,Shooter,Vancouver Canucks,Jake Allen,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:25:03Z,1,10:47,09:13,Blocked Shot,n/a,-72.0,-8.0,Ivan Barbashev,Blocker,St. Louis Blues,Alexander Edler,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-28T03:25:19Z,1,11:03,08:57,Takeaway,n/a,51.0,-39.0,Ivan Barbashev,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
