Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-30T03:13:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:13:49Z,1,00:18,19:42,Missed Shot,n/a,43.0,14.0,Hampus Lindholm,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:02Z,1,00:30,19:30,Giveaway,n/a,-97.0,14.0,Hampus Lindholm,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:09Z,1,00:37,19:23,Shot,Wrist Shot,-67.0,13.0,Conor Garland,Shooter,Arizona Coyotes,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:15Z,1,00:44,19:16,Giveaway,n/a,-47.0,-24.0,Christian Dvorak,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:16Z,1,00:44,19:16,Hit,n/a,-31.0,-39.0,Max Jones,Hitter,Anaheim Ducks,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:19Z,1,00:44,19:16,Missed Shot,n/a,45.0,-23.0,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:31Z,1,00:59,19:01,Shot,Wrist Shot,-49.0,-7.0,Clayton Keller,Shooter,Arizona Coyotes,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:56Z,1,01:24,18:36,Giveaway,n/a,30.0,30.0,Jakob Silfverberg,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:15:14Z,1,01:42,18:18,Shot,Backhand,79.0,5.0,Troy Terry,Shooter,Anaheim Ducks,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:15:25Z,1,01:43,18:17,Faceoff,n/a,69.0,22.0,Nick Ritchie,Winner,Anaheim Ducks,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:16:07Z,1,02:04,17:56,Hit,n/a,32.0,-38.0,Michael Del Zotto,Hitter,Anaheim Ducks,Jordan Oesterle,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:16:25Z,1,02:12,17:48,Giveaway,n/a,-45.0,-39.0,Vinnie Hinostroza,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:16:31Z,1,02:27,17:33,Blocked Shot,n/a,67.0,-8.0,Oliver Ekman-Larsson,Blocker,Arizona Coyotes,Derek Grant,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:16:53Z,1,02:49,17:11,Shot,Wrist Shot,54.0,-16.0,Nicolas Deslauriers,Shooter,Anaheim Ducks,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:16:57Z,1,02:50,17:10,Hit,n/a,46.0,40.0,Carter Rowney,Hitter,Anaheim Ducks,Christian Fischer,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:17:31Z,1,03:27,16:33,Shot,Slap Shot,-42.0,-33.0,Jakob Chychrun,Shooter,Arizona Coyotes,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:17:38Z,1,03:34,16:26,Missed Shot,n/a,-77.0,-8.0,Christian Fischer,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
