Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-30T00:41:51Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,John Tavares,Winner,Toronto Maple Leafs,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:43:12Z,1,00:57,19:03,Giveaway,n/a,98.0,4.0,Auston Matthews,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:43:25Z,1,01:13,18:47,Shot,Tip-In,-2.0,-4.0,Blake Comeau,Shooter,Dallas Stars,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:43:31Z,1,01:17,18:43,Missed Shot,n/a,-64.0,-34.0,Andrew Cogliano,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:05Z,1,01:53,18:07,Shot,Backhand,-82.0,23.0,Jason Dickinson,Shooter,Dallas Stars,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:21Z,1,02:09,17:51,Shot,Wrist Shot,-62.0,34.0,John Klingberg,Shooter,Dallas Stars,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:36Z,1,02:24,17:36,Blocked Shot,n/a,55.0,-18.0,Justin Dowling,Blocker,Dallas Stars,Cody Ceci,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:42Z,1,02:30,17:30,Hit,n/a,85.0,-36.0,Jamie Oleksiak,Hitter,Dallas Stars,Cody Ceci,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:55Z,1,02:38,17:22,Giveaway,n/a,53.0,-26.0,Jamie Oleksiak,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:44:52Z,1,02:40,17:20,Shot,Wrist Shot,39.0,-13.0,Alexander Kerfoot,Shooter,Toronto Maple Leafs,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:45:22Z,1,02:49,17:11,Faceoff,n/a,69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:45:38Z,1,02:58,17:02,Missed Shot,n/a,41.0,-1.0,Mitchell Marner,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:00Z,1,03:20,16:40,Hit,n/a,-35.0,-39.0,Justin Holl,Hitter,Toronto Maple Leafs,Radek Faksa,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:08Z,1,03:28,16:32,Hit,n/a,-23.0,-41.0,Esa Lindell,Hitter,Dallas Stars,Zach Hyman,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:19Z,1,03:39,16:21,Takeaway,n/a,-97.0,-12.0,John Tavares,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:22Z,1,03:42,16:18,Blocked Shot,n/a,-78.0,1.0,Tyson Barrie,Blocker,Toronto Maple Leafs,Jamie Oleksiak,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:32Z,1,03:44,16:16,Shot,Wrist Shot,-82.0,12.0,Corey Perry,Shooter,Dallas Stars,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T00:46:37Z,1,03:57,16:03,Giveaway,n/a,-76.0,-40.0,Travis Dermott,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
