Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-30T03:11:29Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Riley Sheahan,Winner,Edmonton Oilers,Sam Bennett,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:12:48Z,1,00:13,19:47,Shot,Backhand,68.0,-33.0,Riley Sheahan,Shooter,Edmonton Oilers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:13:05Z,1,00:30,19:30,Blocked Shot,n/a,78.0,-9.0,TJ Brodie,Blocker,Calgary Flames,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:13:16Z,1,00:41,19:19,Shot,Wrist Shot,-30.0,27.0,Travis Hamonic,Shooter,Calgary Flames,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:13:38Z,1,01:01,18:59,Goal,Wrist Shot,-82.0,35.0,Elias Lindholm,Scorer,Calgary Flames,Milan Lucic,Assist,Calgary Flames,Travis Hamonic,Assist,Calgary Flames,Mike Smith,Goalie,Edmonton Oilers
2020-01-30T03:14:15Z,1,01:01,18:59,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:14:47Z,1,01:32,18:28,Shot,Tip-In,76.0,-1.0,Leon Draisaitl,Shooter,Edmonton Oilers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:15:26Z,1,01:32,18:28,Faceoff,n/a,69.0,-22.0,Elias Lindholm,Winner,Calgary Flames,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:15:23Z,1,01:38,18:22,Shot,Wrist Shot,76.0,-6.0,Connor McDavid,Shooter,Edmonton Oilers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:15:38Z,1,01:42,18:18,Faceoff,n/a,20.0,22.0,Elias Lindholm,Winner,Calgary Flames,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
