Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-30T03:28:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:02Z,1,00:13,19:47,Giveaway,n/a,-98.0,-4.0,Victor Hedman,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:04Z,1,00:17,19:43,Missed Shot,n/a,-79.0,-29.0,Adrian Kempe,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:13Z,1,00:22,19:38,Hit,n/a,24.0,40.0,Matt Roy,Hitter,Los Angeles Kings,Victor Hedman,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:16Z,1,00:29,19:31,Hit,n/a,71.0,42.0,Anthony Cirelli,Hitter,Tampa Bay Lightning,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:41Z,1,00:31,19:29,Faceoff,n/a,-20.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:48Z,1,00:39,19:21,Hit,n/a,-30.0,-37.0,Kurtis MacDermid,Hitter,Los Angeles Kings,Pat Maroon,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:55Z,1,00:43,19:17,Hit,n/a,31.0,-26.0,Nikolai Prokhorkin,Hitter,Los Angeles Kings,Alex Killorn,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:29:58Z,1,00:48,19:12,Hit,n/a,58.0,41.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Kurtis MacDermid,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-30T03:30:03Z,1,00:55,19:05,Giveaway,n/a,-31.0,-38.0,Alex Killorn,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
