Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-31T02:39:54Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:41:11Z,1,00:43,19:17,Hit,n/a,44.0,-39.0,Nikolai Prokhorkin,Hitter,Los Angeles Kings,Taylor Hall,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:41:46Z,1,00:55,19:05,Faceoff,n/a,-69.0,-22.0,Christian Dvorak,Winner,Arizona Coyotes,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:42:05Z,1,01:13,18:47,Hit,n/a,78.0,37.0,Conor Garland,Hitter,Arizona Coyotes,Ben Hutton,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:42:17Z,1,01:25,18:35,Missed Shot,n/a,-39.0,-27.0,Derek Forbort,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:42:26Z,1,01:32,18:28,Missed Shot,n/a,-42.0,-27.0,Derek Forbort,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:42:48Z,1,01:33,18:27,Faceoff,n/a,-69.0,-22.0,Nick Schmaltz,Winner,Arizona Coyotes,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:43:10Z,1,01:50,18:10,Hit,n/a,-93.0,-27.0,Kyle Clifford,Hitter,Los Angeles Kings,Ilya Lyubushkin,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:43:44Z,1,02:24,17:36,Hit,n/a,-99.0,-7.0,Niklas Hjalmarsson,Hitter,Arizona Coyotes,Anze Kopitar,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:44:19Z,1,02:59,17:01,Blocked Shot,n/a,-83.0,10.0,Oliver Ekman-Larsson,Blocker,Arizona Coyotes,Dustin Brown,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:44:43Z,1,03:23,16:37,Shot,Wrist Shot,-70.0,10.0,Tyler Toffoli,Shooter,Los Angeles Kings,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:45:19Z,1,03:59,16:01,Hit,n/a,90.0,32.0,Matt Roy,Hitter,Los Angeles Kings,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-31T02:45:26Z,1,04:03,15:57,Shot,Wrist Shot,88.0,23.0,Christian Dvorak,Shooter,Arizona Coyotes,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
