Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-01T00:39:51Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nicolas Roy,Winner,Vegas Golden Knights,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:40:50Z,1,00:07,19:53,Faceoff,n/a,69.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Nicolas Roy,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:40:52Z,1,00:16,19:44,Hit,n/a,-98.0,-22.0,Justin Williams,Hitter,Carolina Hurricanes,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:41:17Z,1,00:33,19:27,Hit,n/a,99.0,-11.0,Nicolas Roy,Hitter,Vegas Golden Knights,Jordan Martinook,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:41:27Z,1,00:48,19:12,Hit,n/a,98.0,1.0,William Carrier,Hitter,Vegas Golden Knights,Haydn Fleury,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:41:36Z,1,01:00,19:00,Giveaway,n/a,86.0,8.0,Petr Mrazek,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:42:00Z,1,01:23,18:37,Shot,Deflected,65.0,-38.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:42:30Z,1,01:35,18:25,Faceoff,n/a,-69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Chandler Stephenson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:42:58Z,1,01:56,18:04,Giveaway,n/a,-29.0,-40.0,Joel Edmundson,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:43:17Z,1,02:16,17:44,Blocked Shot,n/a,48.0,-20.0,Jordan Staal,Blocker,Carolina Hurricanes,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:43:21Z,1,02:18,17:42,Hit,n/a,31.0,-41.0,Mark Stone,Hitter,Vegas Golden Knights,Jaccob Slavin,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:43:41Z,1,02:31,17:29,Faceoff,n/a,-69.0,-22.0,Erik Haula,Winner,Carolina Hurricanes,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:44:44Z,1,03:15,16:45,Shot,Backhand,-86.0,-14.0,Justin Williams,Shooter,Carolina Hurricanes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T00:44:48Z,1,03:16,16:44,Hit,n/a,-98.0,-11.0,Ryan Reaves,Hitter,Vegas Golden Knights,Justin Williams,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
