Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-01T18:08:42Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:10:25Z,1,00:59,19:01,Hit,n/a,39.0,39.0,Anders Lee,Hitter,New York Islanders,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:10:50Z,1,01:21,18:39,Shot,Wrist Shot,68.0,-23.0,Mathew Barzal,Shooter,New York Islanders,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:11:04Z,1,01:21,18:39,Faceoff,n/a,69.0,-22.0,Jay Beagle,Winner,Vancouver Canucks,Derick Brassard,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:11:32Z,1,01:34,18:26,Missed Shot,n/a,42.0,-32.0,Noah Dobson,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:12:05Z,1,01:49,18:11,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Derick Brassard,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:57:04Z,1,02:08,17:52,Giveaway,n/a,81.0,2.0,Thomas Greiss,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:57:04Z,1,02:08,17:52,Missed Shot,n/a,42.0,0.0,Christopher Tanev,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:12:38Z,1,02:09,17:51,Goal,Wrist Shot,-77.0,-6.0,J.T. Miller,Scorer,Vancouver Canucks,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:41:46Z,1,02:09,17:51,Faceoff,n/a,0.0,0.0,Brock Nelson,Winner,New York Islanders,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:13:34Z,1,02:29,17:31,Giveaway,n/a,16.0,-39.0,Antoine Roussel,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:13:50Z,1,02:33,17:27,Shot,Wrist Shot,47.0,-19.0,Scott Mayfield,Shooter,New York Islanders,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:14:27Z,1,02:35,17:25,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:15:07Z,1,03:40,16:20,Hit,n/a,97.0,17.0,Matt Martin,Hitter,New York Islanders,Oscar Fantenberg,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:16:43Z,1,05:16,14:44,Shot,Wrist Shot,-54.0,32.0,Tyler Myers,Shooter,Vancouver Canucks,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-01T18:16:51Z,1,05:23,14:37,Goal,Wrist Shot,83.0,1.0,Michael Dal Colle,Scorer,New York Islanders,Josh Bailey,Assist,New York Islanders,Brock Nelson,Assist,New York Islanders,Jacob Markstrom,Goalie,Vancouver Canucks
