Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-02T00:14:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:14Z,1,00:13,19:47,Hit,n/a,-22.0,26.0,Ron Hainsey,Hitter,Ottawa Senators,Zach Hyman,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:24Z,1,00:23,19:37,Takeaway,n/a,19.0,-20.0,Auston Matthews,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:39Z,1,00:38,19:22,Hit,n/a,-8.0,40.0,Jean-Gabriel Pageau,Hitter,Ottawa Senators,Jake Muzzin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:48Z,1,00:47,19:13,Hit,n/a,92.0,-31.0,Martin Marincin,Hitter,Toronto Maple Leafs,Anthony Duclair,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:55Z,1,00:48,19:12,Takeaway,n/a,15.0,-27.0,William Nylander,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:15:53Z,1,00:52,19:08,Shot,Wrist Shot,-80.0,7.0,William Nylander,Shooter,Toronto Maple Leafs,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:16:21Z,1,01:20,18:40,Shot,Wrist Shot,78.0,-10.0,Tyler Ennis,Shooter,Ottawa Senators,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:16:26Z,1,01:25,18:35,Hit,n/a,81.0,-21.0,Rasmus Sandin,Hitter,Toronto Maple Leafs,Tyler Ennis,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:16:42Z,1,01:41,18:19,Hit,n/a,97.0,-11.0,Tyler Ennis,Hitter,Ottawa Senators,Rasmus Sandin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:17:53Z,1,02:26,17:34,Faceoff,n/a,20.0,-22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:18:35Z,1,03:06,16:54,Giveaway,n/a,36.0,16.0,Mitchell Marner,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:18:35Z,1,03:08,16:52,Missed Shot,n/a,38.0,4.0,Vladislav Namestnikov,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:18:55Z,1,03:31,16:29,Blocked Shot,n/a,46.0,15.0,Mitchell Marner,Blocker,Toronto Maple Leafs,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:02Z,1,03:36,16:24,Shot,Wrist Shot,76.0,-4.0,Chris Tierney,Shooter,Ottawa Senators,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:07Z,1,03:40,16:20,Shot,Tip-In,78.0,2.0,Anthony Duclair,Shooter,Ottawa Senators,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:15Z,1,03:45,16:15,Shot,Wrist Shot,69.0,-22.0,Vladislav Namestnikov,Shooter,Ottawa Senators,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:20Z,1,03:54,16:06,Blocked Shot,n/a,81.0,0.0,Justin Holl,Blocker,Toronto Maple Leafs,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:23Z,1,03:57,16:03,Hit,n/a,79.0,39.0,Justin Holl,Hitter,Toronto Maple Leafs,Thomas Chabot,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:44Z,1,04:17,15:43,Hit,n/a,-19.0,-40.0,Drake Batherson,Hitter,Ottawa Senators,Rasmus Sandin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:19:50Z,1,04:22,15:38,Blocked Shot,n/a,-82.0,7.0,Nikita Zaitsev,Blocker,Ottawa Senators,William Nylander,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:04Z,1,04:34,15:26,Takeaway,n/a,72.0,38.0,Tyler Ennis,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:14Z,1,04:48,15:12,Shot,Wrist Shot,84.0,-18.0,Tyler Ennis,Shooter,Ottawa Senators,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:17Z,1,04:49,15:11,Hit,n/a,95.0,-22.0,Cody Ceci,Hitter,Toronto Maple Leafs,Tyler Ennis,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:40Z,1,05:13,14:47,Takeaway,n/a,-22.0,39.0,Jason Spezza,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:45Z,1,05:19,14:41,Hit,n/a,-74.0,41.0,Filip Chlapik,Hitter,Ottawa Senators,Jason Spezza,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:47Z,1,05:21,14:39,Shot,Slap Shot,-32.0,31.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:20:54Z,1,05:28,14:32,Takeaway,n/a,-69.0,-39.0,Pierre Engvall,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:21:42Z,1,06:15,13:45,Hit,n/a,-43.0,-40.0,Dylan DeMelo,Hitter,Ottawa Senators,Dmytro Timashov,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:22:04Z,1,06:37,13:23,Takeaway,n/a,32.0,-29.0,Rasmus Sandin,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:22:08Z,1,06:42,13:18,Giveaway,n/a,22.0,1.0,Rasmus Sandin,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:22:25Z,1,06:56,13:04,Hit,n/a,-67.0,-41.0,Ron Hainsey,Hitter,Ottawa Senators,Auston Matthews,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:22:46Z,1,07:20,12:40,Blocked Shot,n/a,-80.0,13.0,Nikita Zaitsev,Blocker,Ottawa Senators,John Tavares,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:23:13Z,1,07:30,12:30,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T00:23:37Z,1,07:43,12:17,Shot,Slap Shot,-59.0,-20.0,Auston Matthews,Shooter,Toronto Maple Leafs,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
