Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-04T00:40:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Dylan Larkin,Winner,Detroit Red Wings,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:40:56Z,1,00:09,19:51,Hit,n/a,67.0,37.0,Filip Hronek,Hitter,Detroit Red Wings,James van Riemsdyk,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:41:36Z,1,00:23,19:37,Faceoff,n/a,-69.0,22.0,Claude Giroux,Winner,Philadelphia Flyers,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:42:08Z,1,00:56,19:04,Missed Shot,n/a,53.0,-34.0,Jakub Voracek,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:42:11Z,1,00:59,19:01,Hit,n/a,13.0,36.0,Adam Erne,Hitter,Detroit Red Wings,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:42:33Z,1,01:21,18:39,Giveaway,n/a,-31.0,13.0,Alex Biega,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:42:47Z,1,01:35,18:25,Hit,n/a,-96.0,-17.0,Robby Fabbri,Hitter,Detroit Red Wings,Robert Hagg,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:43:08Z,1,01:56,18:04,Hit,n/a,97.0,-15.0,Connor Bunnaman,Hitter,Philadelphia Flyers,Madison Bowey,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:43:31Z,1,02:19,17:41,Shot,Wrist Shot,51.0,-37.0,Matt Niskanen,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:44:00Z,1,02:48,17:12,Giveaway,n/a,97.0,11.0,Filip Hronek,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:44:06Z,1,02:53,17:07,Shot,Slap Shot,65.0,-3.0,Claude Giroux,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:44:30Z,1,02:53,17:07,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:44:54Z,1,03:12,16:48,Hit,n/a,98.0,5.0,Alex Biega,Hitter,Detroit Red Wings,Joel Farabee,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:45:06Z,1,03:24,16:36,Missed Shot,n/a,76.0,-12.0,Joel Farabee,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:45:19Z,1,03:37,16:23,Missed Shot,n/a,-51.0,10.0,Trevor Daley,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:46:23Z,1,04:41,15:19,Shot,Backhand,-65.0,-5.0,Andreas Athanasiou,Shooter,Detroit Red Wings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:46:53Z,1,05:11,14:49,Missed Shot,n/a,75.0,-28.0,Matt Niskanen,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:47:19Z,1,05:37,14:23,Hit,n/a,-41.0,-41.0,Travis Konecny,Hitter,Philadelphia Flyers,Brendan Perlini,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:47:30Z,1,05:48,14:12,Shot,Wrist Shot,73.0,-18.0,Philippe Myers,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:47:58Z,1,06:08,13:52,Shot,Wrist Shot,74.0,-1.0,Joel Farabee,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:51:28Z,1,06:12,13:48,Shot,Slap Shot,41.0,11.0,Justin Braun,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:48:31Z,1,06:48,13:12,Shot,Tip-In,-78.0,-2.0,Darren Helm,Shooter,Detroit Red Wings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:50:33Z,1,06:48,13:12,Faceoff,n/a,-69.0,22.0,Kevin Hayes,Winner,Philadelphia Flyers,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:50:59Z,1,07:00,13:00,Giveaway,n/a,-38.0,38.0,Trevor Daley,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:51:45Z,1,07:46,12:14,Hit,n/a,86.0,-31.0,Filip Hronek,Hitter,Detroit Red Wings,Connor Bunnaman,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:52:22Z,1,07:55,12:05,Faceoff,n/a,69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:52:27Z,1,08:04,11:56,Shot,Wrist Shot,37.0,27.0,Robert Hagg,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:52:38Z,1,08:15,11:45,Missed Shot,n/a,84.0,-7.0,James van Riemsdyk,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:53:26Z,1,08:58,11:02,Hit,n/a,71.0,-37.0,Dennis Cholowski,Hitter,Detroit Red Wings,Joel Farabee,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:53:29Z,1,09:04,10:56,Shot,Backhand,79.0,5.0,Joel Farabee,Shooter,Philadelphia Flyers,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:54:05Z,1,09:04,10:56,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:54:31Z,1,09:30,10:30,Hit,n/a,-99.0,15.0,Luke Glendening,Hitter,Detroit Red Wings,Matt Niskanen,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-04T00:55:02Z,1,09:36,10:24,Faceoff,n/a,-20.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
