Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-05T02:08:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Connor McDavid,Winner,Edmonton Oilers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:26:21Z,1,00:04,19:56,Hit,n/a,4.0,-39.0,Josh Archibald,Hitter,Edmonton Oilers,Alex Goligoski,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:08:46Z,1,00:12,19:48,Hit,n/a,-83.0,-36.0,Zack Kassian,Hitter,Edmonton Oilers,Jakob Chychrun,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:08:54Z,1,00:20,19:40,Missed Shot,n/a,-85.0,-15.0,Connor McDavid,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:09:14Z,1,00:23,19:37,Faceoff,n/a,-69.0,-22.0,Derek Stepan,Winner,Arizona Coyotes,Zack Kassian,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:09:44Z,1,00:36,19:24,Shot,Wrist Shot,-23.0,-23.0,Zack Kassian,Shooter,Edmonton Oilers,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:00Z,1,00:37,19:23,Faceoff,n/a,-69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:16Z,1,00:47,19:13,Giveaway,n/a,-41.0,-30.0,Jordan Oesterle,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:18Z,1,00:48,19:12,Shot,Wrist Shot,-60.0,-27.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:20Z,1,00:51,19:09,Takeaway,n/a,-23.0,2.0,Taylor Hall,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:36Z,1,01:06,18:54,Blocked Shot,n/a,76.0,-6.0,Leon Draisaitl,Blocker,Edmonton Oilers,Niklas Hjalmarsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:10:51Z,1,01:11,18:49,Giveaway,n/a,45.0,-31.0,Ryan Nugent-Hopkins,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T02:11:01Z,1,01:32,18:28,Missed Shot,n/a,-54.0,3.0,Riley Sheahan,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
