Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-05T00:08:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Charlie Coyle,Winner,Boston Bruins,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:09:21Z,1,00:21,19:39,Hit,n/a,64.0,37.0,Sean Kuraly,Hitter,Boston Bruins,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:09:26Z,1,00:28,19:32,Shot,Backhand,-83.0,9.0,Loui Eriksson,Shooter,Vancouver Canucks,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:10:01Z,1,01:04,18:56,Hit,n/a,-46.0,39.0,Tim Schaller,Hitter,Vancouver Canucks,Torey Krug,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:10:16Z,1,01:19,18:41,Shot,Slap Shot,45.0,27.0,David Krejci,Shooter,Boston Bruins,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:10:28Z,1,01:30,18:30,Shot,Wrist Shot,55.0,-12.0,Jake DeBrusk,Shooter,Boston Bruins,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:10:36Z,1,01:39,18:21,Giveaway,n/a,42.0,28.0,Zdeno Chara,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:10:44Z,1,01:47,18:13,Takeaway,n/a,90.0,16.0,Oscar Fantenberg,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:11:05Z,1,01:49,18:11,Faceoff,n/a,20.0,22.0,Patrice Bergeron,Winner,Boston Bruins,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:11:35Z,1,02:19,17:41,Takeaway,n/a,47.0,27.0,Brad Marchand,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:11:52Z,1,02:37,17:23,Hit,n/a,-79.0,37.0,Tanner Pearson,Hitter,Vancouver Canucks,Charlie McAvoy,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:12:16Z,1,02:59,17:01,Hit,n/a,96.0,-10.0,Chris Wagner,Hitter,Boston Bruins,Troy Stecher,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:12:38Z,1,03:23,16:37,Hit,n/a,-98.0,0.0,Matt Grzelcyk,Hitter,Boston Bruins,Elias Pettersson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:12:50Z,1,03:24,16:36,Shot,Wrist Shot,-52.0,31.0,Jake Virtanen,Shooter,Vancouver Canucks,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:13:28Z,1,03:24,16:36,Faceoff,n/a,-69.0,22.0,Adam Gaudette,Winner,Vancouver Canucks,Charlie Coyle,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:13:32Z,1,03:29,16:31,Shot,Snap Shot,-38.0,14.0,Tyler Myers,Shooter,Vancouver Canucks,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:13:41Z,1,03:29,16:31,Faceoff,n/a,-69.0,22.0,Sean Kuraly,Winner,Boston Bruins,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:13:58Z,1,03:41,16:19,Hit,n/a,86.0,34.0,Tyler Myers,Hitter,Vancouver Canucks,Anders Bjork,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:14:09Z,1,03:52,16:08,Giveaway,n/a,15.0,34.0,Jake Virtanen,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:14:45Z,1,04:28,15:32,Takeaway,n/a,-46.0,-36.0,Charlie Coyle,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:15:02Z,1,04:45,15:15,Hit,n/a,45.0,-37.0,J.T. Miller,Hitter,Vancouver Canucks,David Krejci,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:15:09Z,1,04:52,15:08,Takeaway,n/a,-39.0,2.0,David Krejci,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:15:43Z,1,05:19,14:41,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:16:13Z,1,05:33,14:27,Shot,Snap Shot,52.0,-16.0,Patrice Bergeron,Shooter,Boston Bruins,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:16:26Z,1,05:47,14:13,Blocked Shot,n/a,69.0,4.0,Troy Stecher,Blocker,Vancouver Canucks,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:16:33Z,1,05:54,14:06,Giveaway,n/a,36.0,-25.0,Brad Marchand,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:17:04Z,1,06:23,13:37,Shot,Wrist Shot,-41.0,-30.0,Tanner Pearson,Shooter,Vancouver Canucks,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:19:03Z,1,06:23,13:37,Faceoff,n/a,-69.0,-22.0,David Krejci,Winner,Boston Bruins,Antoine Roussel,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:20:34Z,1,07:05,12:55,Hit,n/a,-81.0,36.0,Karson Kuhlman,Hitter,Boston Bruins,Oscar Fantenberg,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:21:22Z,1,07:51,12:09,Hit,n/a,-20.0,38.0,Chris Wagner,Hitter,Boston Bruins,Elias Pettersson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-05T00:21:53Z,1,08:24,11:36,Hit,n/a,63.0,41.0,Sean Kuraly,Hitter,Boston Bruins,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
