Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-08T20:17:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:19:17Z,1,00:59,19:01,Hit,n/a,94.0,18.0,Karson Kuhlman,Hitter,Boston Bruins,Jordan Oesterle,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:19:25Z,1,01:07,18:53,Hit,n/a,-85.0,31.0,John Moore,Hitter,Boston Bruins,Taylor Hall,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:19:34Z,1,01:16,18:44,Hit,n/a,65.0,40.0,Jordan Oesterle,Hitter,Arizona Coyotes,Karson Kuhlman,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:19:46Z,1,01:28,18:32,Shot,Wrist Shot,85.0,-7.0,Charlie Coyle,Shooter,Boston Bruins,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:19:51Z,1,01:33,18:27,Hit,n/a,93.0,32.0,Charlie Coyle,Hitter,Boston Bruins,Taylor Hall,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:20:09Z,1,01:52,18:08,Blocked Shot,n/a,76.0,-7.0,Aaron Ness,Blocker,Arizona Coyotes,Anders Bjork,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:20:27Z,1,02:10,17:50,Hit,n/a,-24.0,-38.0,Lawson Crouse,Hitter,Arizona Coyotes,Matt Grzelcyk,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:20:41Z,1,02:23,17:37,Hit,n/a,39.0,37.0,Ilya Lyubushkin,Hitter,Arizona Coyotes,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:20:57Z,1,02:39,17:21,Blocked Shot,n/a,70.0,-7.0,Jakob Chychrun,Blocker,Arizona Coyotes,Charlie McAvoy,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:21:06Z,1,02:48,17:12,Missed Shot,n/a,-48.0,-18.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:21:16Z,1,02:58,17:02,Giveaway,n/a,-62.0,-36.0,Clayton Keller,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:21:34Z,1,03:07,16:53,Missed Shot,n/a,-10.0,37.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:22:32Z,1,04:14,15:46,Missed Shot,n/a,-67.0,21.0,Christian Fischer,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:23:07Z,1,04:25,15:35,Faceoff,n/a,-20.0,-22.0,David Krejci,Winner,Boston Bruins,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:23:31Z,1,04:42,15:18,Blocked Shot,n/a,63.0,-18.0,Aaron Ness,Blocker,Arizona Coyotes,Karson Kuhlman,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:23:47Z,1,04:53,15:07,Shot,Wrist Shot,36.0,27.0,Karson Kuhlman,Shooter,Boston Bruins,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:24:20Z,1,04:54,15:06,Faceoff,n/a,69.0,22.0,Sean Kuraly,Winner,Boston Bruins,Taylor Hall,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:24:37Z,1,04:59,15:01,Missed Shot,n/a,66.0,5.0,Anders Bjork,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:25:59Z,1,06:27,13:33,Blocked Shot,n/a,-59.0,0.0,Chris Wagner,Blocker,Boston Bruins,Jordan Oesterle,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:26:02Z,1,06:29,13:31,Missed Shot,n/a,-36.0,-1.0,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:26:17Z,1,06:42,13:18,Shot,Wrist Shot,-58.0,41.0,Ilya Lyubushkin,Shooter,Arizona Coyotes,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:28:23Z,1,06:42,13:18,Faceoff,n/a,-69.0,-22.0,Brad Richardson,Winner,Arizona Coyotes,Charlie Coyle,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:28:48Z,1,06:49,13:11,Blocked Shot,n/a,-64.0,-15.0,Charlie Coyle,Blocker,Boston Bruins,Jakob Chychrun,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:29:01Z,1,07:01,12:59,Hit,n/a,-79.0,-38.0,Carl Soderberg,Hitter,Arizona Coyotes,Charlie Coyle,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:29:25Z,1,07:11,12:49,Blocked Shot,n/a,-62.0,6.0,John Moore,Blocker,Boston Bruins,Jakob Chychrun,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:29:37Z,1,07:12,12:48,Faceoff,n/a,0.0,0.0,David Krejci,Winner,Boston Bruins,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:29:57Z,1,07:31,12:29,Takeaway,n/a,40.0,-23.0,Derek Stepan,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:30:23Z,1,07:35,12:25,Faceoff,n/a,-20.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Lawson Crouse,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:30:56Z,1,08:03,11:57,Blocked Shot,n/a,-73.0,-11.0,John Moore,Blocker,Boston Bruins,Aaron Ness,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:31:26Z,1,08:34,11:26,Hit,n/a,22.0,36.0,Ilya Lyubushkin,Hitter,Arizona Coyotes,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:31:35Z,1,08:42,11:18,Shot,Slap Shot,32.0,18.0,Zdeno Chara,Shooter,Boston Bruins,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:31:55Z,1,09:02,10:58,Giveaway,n/a,33.0,-38.0,Taylor Hall,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:32:15Z,1,09:09,10:51,Penalty,Hooking,-62.0,-32.0,Charlie McAvoy,PenaltyOn,Boston Bruins,Taylor Hall,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-08T20:32:45Z,1,09:09,10:51,Faceoff,n/a,-69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Clayton Keller,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
