Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-09T20:07:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:08:51Z,1,00:32,19:28,Shot,Snap Shot,58.0,-29.0,Brandon Montour,Shooter,Buffalo Sabres,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:09:05Z,1,00:47,19:13,Shot,Wrist Shot,-54.0,30.0,Derek Grant,Shooter,Anaheim Ducks,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:09:39Z,1,01:19,18:41,Hit,n/a,-98.0,-19.0,Devin Shore,Hitter,Anaheim Ducks,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:09:49Z,1,01:30,18:30,Shot,Snap Shot,-75.0,23.0,Cam Fowler,Shooter,Anaheim Ducks,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:10:41Z,1,02:20,17:40,Giveaway,n/a,54.0,3.0,Korbinian Holzer,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:11:16Z,1,02:58,17:02,Takeaway,n/a,-66.0,-14.0,Max Jones,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:11:32Z,1,03:13,16:47,Missed Shot,n/a,-69.0,-11.0,Jakob Silfverberg,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:11:44Z,1,03:25,16:35,Missed Shot,n/a,-55.0,-24.0,Jakob Silfverberg,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:12:07Z,1,03:46,16:14,Giveaway,n/a,-9.0,-26.0,Michael Del Zotto,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:12:08Z,1,03:50,16:10,Blocked Shot,n/a,55.0,-5.0,Cam Fowler,Blocker,Anaheim Ducks,Evan Rodrigues,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:12:16Z,1,03:58,16:02,Missed Shot,n/a,87.0,-14.0,Evan Rodrigues,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:12:25Z,1,04:06,15:54,Shot,Wrist Shot,31.0,-34.0,Curtis Lazar,Shooter,Buffalo Sabres,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:12:37Z,1,04:18,15:42,Hit,n/a,86.0,36.0,Curtis Lazar,Hitter,Buffalo Sabres,Carter Rowney,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:14:08Z,1,05:49,14:11,Giveaway,n/a,15.0,-22.0,Jimmy Vesey,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:16:14Z,1,06:01,13:59,Faceoff,n/a,20.0,22.0,Sam Steel,Winner,Anaheim Ducks,Evan Rodrigues,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T20:17:00Z,1,06:15,13:45,Goal,Wrist Shot,-64.0,0.0,Jakob Silfverberg,Scorer,Anaheim Ducks,Sam Steel,Assist,Anaheim Ducks,Michael Del Zotto,Assist,Anaheim Ducks,Jonas Johansson,Goalie,Buffalo Sabres
