Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-09T00:08:40Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:09:31Z,1,00:27,19:33,Hit,n/a,-5.0,-34.0,Nick Foligno,Hitter,Columbus Blue Jackets,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:10:25Z,1,01:25,18:35,Giveaway,n/a,-39.0,39.0,Boone Jenner,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:10:55Z,1,01:28,18:32,Faceoff,n/a,-69.0,-22.0,Gabriel Landeskog,Winner,Colorado Avalanche,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:05Z,1,01:35,18:25,Missed Shot,n/a,-43.0,-15.0,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:15Z,1,01:44,18:16,Blocked Shot,n/a,-63.0,-8.0,Boone Jenner,Blocker,Columbus Blue Jackets,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:21Z,1,01:45,18:15,Shot,Wrist Shot,65.0,12.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:31Z,1,02:00,18:00,Shot,Wrist Shot,-59.0,-4.0,Mikko Rantanen,Shooter,Colorado Avalanche,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:43Z,1,02:12,17:48,Missed Shot,n/a,-36.0,-24.0,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:55Z,1,02:19,17:41,Penalty,Holding,-89.0,-12.0,Riley Nash,PenaltyOn,Columbus Blue Jackets,Mikko Rantanen,DrewBy,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:29Z,1,02:19,17:41,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:51Z,1,02:45,17:15,Missed Shot,n/a,-51.0,-25.0,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:58Z,1,02:52,17:08,Giveaway,n/a,-94.0,23.0,Gabriel Landeskog,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:13:04Z,1,02:58,17:02,Missed Shot,n/a,61.0,13.0,Nick Foligno,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:14:15Z,1,04:09,15:51,Blocked Shot,n/a,-66.0,5.0,Seth Jones,Blocker,Columbus Blue Jackets,Andre Burakovsky,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:14:38Z,1,04:29,15:31,Blocked Shot,n/a,-58.0,-5.0,Vladislav Gavrikov,Blocker,Columbus Blue Jackets,Valeri Nichushkin,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:15:12Z,1,04:30,15:30,Faceoff,n/a,-69.0,-22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
