Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-09T00:10:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Vincent Trocheck,Winner,Florida Panthers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:10:54Z,1,00:17,19:43,Faceoff,n/a,-69.0,22.0,Vincent Trocheck,Winner,Florida Panthers,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:11Z,1,00:23,19:37,Missed Shot,n/a,-46.0,34.0,Anton Stralman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:23Z,1,00:35,19:25,Missed Shot,n/a,-84.0,-23.0,Vincent Trocheck,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:11:32Z,1,00:44,19:16,Hit,n/a,-59.0,-40.0,Kris Letang,Hitter,Pittsburgh Penguins,Noel Acciari,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:05Z,1,00:57,19:03,Faceoff,n/a,20.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:39Z,1,01:28,18:32,Giveaway,n/a,-5.0,-30.0,Sidney Crosby,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:12:46Z,1,01:34,18:26,Shot,Snap Shot,-72.0,-19.0,Dominic Toninato,Shooter,Florida Panthers,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:13:07Z,1,01:35,18:25,Faceoff,n/a,-69.0,-22.0,Dominic Toninato,Winner,Florida Panthers,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T00:13:22Z,1,01:40,18:20,Shot,Snap Shot,-41.0,35.0,Aaron Ekblad,Shooter,Florida Panthers,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
