Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-09T23:08:32Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:09:21Z,1,00:08,19:52,Faceoff,n/a,69.0,-22.0,Jeff Carter,Winner,Los Angeles Kings,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:09:59Z,1,00:35,19:25,Shot,Snap Shot,36.0,0.0,Joakim Ryan,Shooter,Los Angeles Kings,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:10:25Z,1,00:35,19:25,Faceoff,n/a,69.0,22.0,Ryan Strome,Winner,New York Rangers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:10:41Z,1,00:41,19:19,Shot,Wrist Shot,38.0,33.0,Alec Martinez,Shooter,Los Angeles Kings,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:10:52Z,1,00:48,19:12,Takeaway,n/a,61.0,30.0,Ryan Strome,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:10:50Z,1,00:50,19:10,Shot,Wrist Shot,-45.0,-21.0,Artemi Panarin,Shooter,New York Rangers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:11:00Z,1,00:50,19:10,Faceoff,n/a,-69.0,-22.0,Ryan Strome,Winner,New York Rangers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:11:45Z,1,01:18,18:42,Shot,Wrist Shot,62.0,1.0,Tyler Toffoli,Shooter,Los Angeles Kings,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:12:18Z,1,01:18,18:42,Faceoff,n/a,69.0,22.0,Filip Chytil,Winner,New York Rangers,Austin Wagner,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:12:32Z,1,01:33,18:27,Hit,n/a,-95.0,-26.0,Phillip Di Giuseppe,Hitter,New York Rangers,Austin Wagner,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:12:41Z,1,01:42,18:18,Giveaway,n/a,66.0,-29.0,Trevor Moore,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:12:45Z,1,01:46,18:14,Giveaway,n/a,55.0,-15.0,Filip Chytil,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:12:52Z,1,01:51,18:09,Hit,n/a,96.0,-20.0,Marc Staal,Hitter,New York Rangers,Trevor Moore,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:13:17Z,1,02:09,17:51,Faceoff,n/a,0.0,0.0,Greg McKegg,Winner,New York Rangers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:13:45Z,1,02:23,17:37,Goal,Wrist Shot,-66.0,-16.0,Greg McKegg,Scorer,New York Rangers,Brett Howden,Assist,New York Rangers,Ryan Lindgren,Assist,New York Rangers,Jonathan Quick,Goalie,Los Angeles Kings
2020-02-09T23:38:49Z,1,02:23,17:37,Faceoff,n/a,0.0,0.0,Ryan Strome,Winner,New York Rangers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:14:53Z,1,02:49,17:11,Shot,Wrist Shot,-73.0,39.0,Ryan Strome,Shooter,New York Rangers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:38:49Z,1,02:53,17:07,Hit,n/a,-77.0,39.0,Joakim Ryan,Hitter,Los Angeles Kings,Ryan Strome,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:15:00Z,1,02:55,17:05,Shot,Wrist Shot,-48.0,29.0,Adam Fox,Shooter,New York Rangers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:15:07Z,1,03:02,16:58,Shot,Wrist Shot,72.0,-35.0,Dustin Brown,Shooter,Los Angeles Kings,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:15:29Z,1,03:02,16:58,Faceoff,n/a,69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:16:18Z,1,03:14,16:46,Faceoff,n/a,69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Tyler Toffoli,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:16:45Z,1,03:26,16:34,Giveaway,n/a,-72.0,32.0,Mika Zibanejad,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:17:14Z,1,03:55,16:05,Hit,n/a,-88.0,-32.0,Phillip Di Giuseppe,Hitter,New York Rangers,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:17:20Z,1,04:01,15:59,Shot,Snap Shot,62.0,26.0,Austin Wagner,Shooter,Los Angeles Kings,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:17:34Z,1,04:01,15:59,Faceoff,n/a,69.0,22.0,Austin Wagner,Winner,Los Angeles Kings,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:18:04Z,1,04:12,15:48,Hit,n/a,97.0,16.0,Marc Staal,Hitter,New York Rangers,Blake Lizotte,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-09T23:18:18Z,1,04:19,15:41,Hit,n/a,75.0,-38.0,Austin Wagner,Hitter,Los Angeles Kings,Filip Chytil,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
