Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-10T00:11:51Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:12:28Z,1,00:09,19:51,Missed Shot,n/a,21.0,-34.0,Drake Caggiula,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:12:28Z,1,00:13,19:47,Missed Shot,n/a,77.0,6.0,Drake Caggiula,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:12:28Z,1,00:15,19:45,Goal,Wrist Shot,62.0,1.0,Dominik Kubalik,Scorer,Chicago Blackhawks,Drake Caggiula,Assist,Chicago Blackhawks,Jonathan Toews,Assist,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets
2020-02-10T00:12:57Z,1,00:15,19:45,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:13:31Z,1,00:47,19:13,Blocked Shot,n/a,-76.0,2.0,Erik Gustafsson,Blocker,Chicago Blackhawks,Josh Morrissey,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:13:54Z,1,01:10,18:50,Missed Shot,n/a,84.0,-19.0,Kirby Dach,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:13:56Z,1,01:12,18:48,Giveaway,n/a,33.0,-39.0,Kyle Connor,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:14:00Z,1,01:17,18:43,Hit,n/a,67.0,40.0,Kirby Dach,Hitter,Chicago Blackhawks,Sami Niku,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:14:23Z,1,01:21,18:39,Faceoff,n/a,-20.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,David Kampf,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:15:35Z,1,02:31,17:29,Takeaway,n/a,51.0,26.0,Matthew Highmore,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:15:38Z,1,02:34,17:26,Shot,Wrist Shot,85.0,26.0,Matthew Highmore,Shooter,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:16:12Z,1,03:08,16:52,Hit,n/a,-99.0,-19.0,Gabriel Bourque,Hitter,Winnipeg Jets,Erik Gustafsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:16:27Z,1,03:23,16:37,Missed Shot,n/a,38.0,-31.0,Connor Murphy,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-10T00:16:35Z,1,03:31,16:29,Blocked Shot,n/a,72.0,3.0,Gabriel Bourque,Blocker,Winnipeg Jets,Connor Murphy,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
