Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-11T00:11:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:23Z,1,00:07,19:53,Faceoff,n/a,-69.0,-22.0,Christian Dvorak,Winner,Arizona Coyotes,Tomas Tatar,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:48Z,1,00:16,19:44,Takeaway,n/a,-63.0,35.0,Taylor Hall,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:12:09Z,1,00:37,19:23,Shot,Wrist Shot,-45.0,30.0,Brendan Gallagher,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:12:36Z,1,00:38,19:22,Faceoff,n/a,-69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:12:49Z,1,00:49,19:11,Hit,n/a,-92.0,-30.0,Brad Richardson,Hitter,Arizona Coyotes,Jake Evans,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:12:52Z,1,00:50,19:10,Shot,Wrist Shot,-77.0,-8.0,Nick Cousins,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:13:12Z,1,00:51,19:09,Goal,Wrist Shot,-79.0,0.0,Jake Evans,Scorer,Montréal Canadiens,Nick Cousins,Assist,Montréal Canadiens,Nate Thompson,Assist,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes
2020-02-11T00:13:57Z,1,00:51,19:09,Faceoff,n/a,0.0,0.0,Max Domi,Winner,Montréal Canadiens,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:14:35Z,1,01:13,18:47,Faceoff,n/a,20.0,-22.0,Nick Suzuki,Winner,Montréal Canadiens,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:14:38Z,1,01:28,18:32,Shot,Wrist Shot,61.0,6.0,Alex Goligoski,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:14:54Z,1,01:29,18:31,Faceoff,n/a,69.0,22.0,Nick Schmaltz,Winner,Arizona Coyotes,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
