Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-11T00:08:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:09:26Z,1,00:23,19:37,Giveaway,n/a,96.0,23.0,Claude Giroux,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:10:57Z,1,01:51,18:09,Hit,n/a,96.0,24.0,Robert Hagg,Hitter,Philadelphia Flyers,Frank Vatrano,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:10:53Z,1,01:52,18:08,Missed Shot,n/a,69.0,4.0,Frank Vatrano,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:02Z,1,02:02,17:58,Missed Shot,n/a,73.0,-1.0,Frank Vatrano,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:30Z,1,02:02,17:58,Faceoff,n/a,69.0,22.0,Claude Giroux,Winner,Philadelphia Flyers,Jayce Hawryluk,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:40Z,1,02:08,17:52,Giveaway,n/a,64.0,27.0,Jayce Hawryluk,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:44Z,1,02:12,17:48,Shot,Snap Shot,-69.0,-18.0,Connor Bunnaman,Shooter,Philadelphia Flyers,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:11:48Z,1,02:15,17:45,Shot,Slap Shot,-35.0,-27.0,Ivan Provorov,Shooter,Philadelphia Flyers,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-11T00:12:12Z,1,02:15,17:45,Faceoff,n/a,-69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Colton Sceviour,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
