Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-12T00:09:41Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Scott Laughton,Winner,Philadelphia Flyers,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:10:41Z,1,00:15,19:45,Hit,n/a,-98.0,17.0,Tyler Pitlick,Hitter,Philadelphia Flyers,Johnny Boychuk,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:10:47Z,1,00:21,19:39,Hit,n/a,39.0,-39.0,Casey Cizikas,Hitter,New York Islanders,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:10:55Z,1,00:30,19:30,Hit,n/a,61.0,-40.0,Travis Sanheim,Hitter,Philadelphia Flyers,Leo Komarov,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:11:19Z,1,00:53,19:07,Shot,Slap Shot,-33.0,-35.0,Ivan Provorov,Shooter,Philadelphia Flyers,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:11:47Z,1,01:22,18:38,Giveaway,n/a,-97.0,5.0,Semyon Varlamov,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:11Z,1,01:46,18:14,Shot,Wrist Shot,-25.0,32.0,Kevin Hayes,Shooter,Philadelphia Flyers,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:23Z,1,01:58,18:02,Missed Shot,n/a,63.0,-18.0,Mathew Barzal,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:28Z,1,02:02,17:58,Blocked Shot,n/a,80.0,17.0,Justin Braun,Blocker,Philadelphia Flyers,Jordan Eberle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:35Z,1,02:09,17:51,Shot,Wrist Shot,63.0,-18.0,Mathew Barzal,Shooter,New York Islanders,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:43Z,1,02:17,17:43,Hit,n/a,-61.0,-40.0,Connor Bunnaman,Hitter,Philadelphia Flyers,Scott Mayfield,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:12:59Z,1,02:34,17:26,Blocked Shot,n/a,-65.0,-27.0,Johnny Boychuk,Blocker,New York Islanders,Michael Raffl,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:13:07Z,1,02:41,17:19,Hit,n/a,-73.0,39.0,Nicolas Aube-Kubel,Hitter,Philadelphia Flyers,Nick Leddy,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:13:22Z,1,02:57,17:03,Shot,Wrist Shot,-44.0,34.0,Tyler Pitlick,Shooter,Philadelphia Flyers,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:13:30Z,1,03:05,16:55,Shot,Wrist Shot,-46.0,-22.0,Tyler Pitlick,Shooter,Philadelphia Flyers,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:13:50Z,1,03:23,16:37,Hit,n/a,-47.0,-41.0,Casey Cizikas,Hitter,New York Islanders,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:14:28Z,1,03:23,16:37,Faceoff,n/a,-69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:14:51Z,1,03:35,16:25,Takeaway,n/a,-38.0,-38.0,Claude Giroux,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:15:03Z,1,03:47,16:13,Blocked Shot,n/a,-48.0,-30.0,Brock Nelson,Blocker,New York Islanders,Claude Giroux,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-12T00:15:14Z,1,03:59,16:01,Missed Shot,n/a,-44.0,-2.0,Travis Sanheim,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
