Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-13T03:16:41Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikael Backlund,Winner,Calgary Flames,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:17:26Z,1,00:26,19:34,Giveaway,n/a,96.0,19.0,Martin Frk,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:17:37Z,1,00:34,19:26,Blocked Shot,n/a,35.0,1.0,Adrian Kempe,Blocker,Los Angeles Kings,Rasmus Andersson,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:17:42Z,1,00:38,19:22,Missed Shot,n/a,-81.0,0.0,Jeff Carter,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:17:46Z,1,00:49,19:11,Blocked Shot,n/a,-77.0,-10.0,Rasmus Andersson,Blocker,Calgary Flames,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:18:16Z,1,01:08,18:52,Faceoff,n/a,-20.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:19:12Z,1,01:37,18:23,Giveaway,n/a,97.0,-7.0,Drew Doughty,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:19:28Z,1,01:50,18:10,Giveaway,n/a,72.0,-32.0,Anze Kopitar,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:19:28Z,1,01:53,18:07,Shot,Wrist Shot,82.0,-11.0,Johnny Gaudreau,Shooter,Calgary Flames,Calvin Petersen,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:20:02Z,1,01:54,18:06,Faceoff,n/a,69.0,-22.0,Derek Ryan,Winner,Calgary Flames,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:20:18Z,1,02:13,17:47,Shot,Tip-In,-80.0,0.0,Blake Lizotte,Shooter,Los Angeles Kings,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:20:29Z,1,02:18,17:42,Hit,n/a,-95.0,19.0,Trevor Moore,Hitter,Los Angeles Kings,Dillon Dube,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:20:49Z,1,02:44,17:16,Hit,n/a,22.0,0.0,Zac Rinaldo,Hitter,Calgary Flames,Michael Amadio,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:21:55Z,1,03:27,16:33,Faceoff,n/a,69.0,22.0,Jeff Carter,Winner,Los Angeles Kings,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:22:09Z,1,03:35,16:25,Takeaway,n/a,-35.0,-40.0,Michael Stone,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:22:47Z,1,04:03,15:57,Giveaway,n/a,-64.0,-8.0,Mikael Backlund,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-13T03:22:40Z,1,04:08,15:52,Missed Shot,n/a,-38.0,-34.0,Derek Forbort,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
