Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T03:08:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Monahan,Winner,Calgary Flames,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:09:29Z,1,00:22,19:38,Giveaway,n/a,98.0,8.0,Cam Talbot,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:09:44Z,1,00:35,19:25,Hit,n/a,92.0,-30.0,Carter Rowney,Hitter,Anaheim Ducks,Noah Hanifin,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:10Z,1,00:45,19:15,Shot,Wrist Shot,93.0,21.0,Elias Lindholm,Shooter,Calgary Flames,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:04Z,1,00:54,19:06,Hit,n/a,78.0,39.0,Nick Ritchie,Hitter,Anaheim Ducks,Michael Stone,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:29Z,1,01:22,18:38,Missed Shot,n/a,45.0,34.0,Jacob Larsson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:48Z,1,01:41,18:19,Missed Shot,n/a,45.0,28.0,Hampus Lindholm,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:00Z,1,01:50,18:10,Hit,n/a,86.0,-36.0,Michael Stone,Hitter,Calgary Flames,Devin Shore,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:06Z,1,02:00,18:00,Shot,Backhand,-85.0,18.0,Dillon Dube,Shooter,Calgary Flames,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:30Z,1,02:23,17:37,Missed Shot,n/a,-38.0,20.0,Zac Rinaldo,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:46Z,1,02:39,17:21,Giveaway,n/a,71.0,-27.0,Oliver Kylington,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
