Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T00:15:40Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Johan Larsson,Winner,Buffalo Sabres,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:26Z,1,00:22,19:38,Hit,n/a,98.0,20.0,David Savard,Hitter,Columbus Blue Jackets,Kyle Okposo,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:44Z,1,00:37,19:23,Shot,Snap Shot,-63.0,-1.0,Nick Foligno,Shooter,Columbus Blue Jackets,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:56Z,1,00:38,19:22,Faceoff,n/a,-69.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:18:00Z,1,01:31,18:29,Shot,Wrist Shot,53.0,-8.0,Evan Rodrigues,Shooter,Buffalo Sabres,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:18:10Z,1,01:41,18:19,Blocked Shot,n/a,69.0,-2.0,Riley Nash,Blocker,Columbus Blue Jackets,Colin Miller,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:18:18Z,1,01:49,18:11,Shot,Snap Shot,55.0,-1.0,Jeff Skinner,Shooter,Buffalo Sabres,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:18:53Z,1,02:24,17:36,Shot,Wrist Shot,-71.0,-31.0,Kevin Stenlund,Shooter,Columbus Blue Jackets,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:16Z,1,02:44,17:16,Hit,n/a,9.0,39.0,Curtis Lazar,Hitter,Buffalo Sabres,Emil Bemstrom,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:23Z,1,02:53,17:07,Missed Shot,n/a,-41.0,-1.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:27Z,1,02:58,17:02,Hit,n/a,-50.0,-40.0,Kyle Okposo,Hitter,Buffalo Sabres,Gustav Nyquist,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
