Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T02:03:43Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joel Eriksson Ek,Winner,Minnesota Wild,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:09:34Z,1,00:32,19:28,Hit,n/a,-98.0,-17.0,Marcus Foligno,Hitter,Minnesota Wild,Jacob Trouba,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:09:48Z,1,00:59,19:01,Blocked Shot,n/a,-75.0,-3.0,Ryan Lindgren,Blocker,New York Rangers,Zach Parise,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:10:21Z,1,01:32,18:28,Shot,Wrist Shot,64.0,-19.0,Filip Chytil,Shooter,New York Rangers,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:10:31Z,1,01:42,18:18,Hit,n/a,74.0,39.0,Carson Soucy,Hitter,Minnesota Wild,Kaapo Kakko,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:10:56Z,1,01:59,18:01,Faceoff,n/a,69.0,22.0,Luke Kunin,Winner,Minnesota Wild,Greg McKegg,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:11:43Z,1,02:24,17:36,Blocked Shot,n/a,59.0,14.0,Mats Zuccarello,Blocker,Minnesota Wild,Brady Skjei,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:12:14Z,1,02:54,17:06,Shot,Wrist Shot,-55.0,-5.0,Carson Soucy,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:12:16Z,1,02:58,17:02,Shot,Wrist Shot,-77.0,-1.0,Carson Soucy,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:12:31Z,1,03:13,16:47,Hit,n/a,-90.0,-33.0,Jacob Trouba,Hitter,New York Rangers,Jonas Brodin,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:12:40Z,1,03:22,16:38,Shot,Wrist Shot,-70.0,-24.0,Jonas Brodin,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:12:50Z,1,03:24,16:36,Shot,Wrist Shot,-85.0,11.0,Jonas Brodin,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:13:12Z,1,03:25,16:35,Faceoff,n/a,-69.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:13:20Z,1,03:32,16:28,Shot,Slap Shot,-36.0,-1.0,Jonas Brodin,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:14:31Z,1,04:44,15:16,Giveaway,n/a,4.0,-33.0,Ryan Strome,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:14:51Z,1,05:05,14:55,Hit,n/a,96.0,-21.0,Carson Soucy,Hitter,Minnesota Wild,Filip Chytil,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:15:02Z,1,05:15,14:45,Shot,Backhand,-85.0,13.0,Carson Soucy,Shooter,Minnesota Wild,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T01:15:10Z,1,05:24,14:36,Hit,n/a,-59.0,-39.0,Phillip Di Giuseppe,Hitter,New York Rangers,Mats Zuccarello,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
