Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T00:07:55Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Dylan Larkin,Winner,Detroit Red Wings,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:08:54Z,1,00:25,19:35,Missed Shot,n/a,-50.0,-11.0,Anthony Mantha,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:08:57Z,1,00:28,19:32,Hit,n/a,-80.0,38.0,Darren Helm,Hitter,Detroit Red Wings,Andy Greene,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:09:22Z,1,00:52,19:08,Shot,Backhand,-74.0,7.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:09:30Z,1,00:52,19:08,Penalty,Hooking,-47.0,-22.0,Damon Severson,PenaltyOn,New Jersey Devils,Andreas Athanasiou,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:09:56Z,1,00:52,19:08,Faceoff,n/a,-69.0,-22.0,Kevin Rooney,Winner,New Jersey Devils,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:11:21Z,1,02:02,17:58,Missed Shot,n/a,-74.0,-26.0,P.K. Subban,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:11:42Z,1,02:33,17:27,Shot,Snap Shot,-76.0,19.0,Robby Fabbri,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:11:52Z,1,02:43,17:17,Hit,n/a,-99.0,-14.0,P.K. Subban,Hitter,New Jersey Devils,Robby Fabbri,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:12Z,1,03:02,16:58,Takeaway,n/a,5.0,0.0,Wayne Simmonds,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:15Z,1,03:06,16:54,Shot,Snap Shot,49.0,-29.0,Pavel Zacha,Shooter,New Jersey Devils,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:46Z,1,03:06,16:54,Faceoff,n/a,69.0,-22.0,Luke Glendening,Winner,Detroit Red Wings,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:02Z,1,03:12,16:48,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:43Z,1,03:22,16:38,Penalty,Delaying Game - Puck over glass,20.0,-41.0,Darren Helm,PenaltyOn,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:09Z,1,03:22,16:38,Faceoff,n/a,69.0,22.0,Jack Hughes,Winner,New Jersey Devils,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:40Z,1,03:55,16:05,Shot,Snap Shot,49.0,-26.0,Kyle Palmieri,Shooter,New Jersey Devils,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:44Z,1,03:59,16:01,Missed Shot,n/a,80.0,6.0,Blake Coleman,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:50Z,1,04:05,15:55,Shot,Tip-In,73.0,5.0,Blake Coleman,Shooter,New Jersey Devils,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:50Z,1,04:05,15:55,Hit,n/a,99.0,15.0,Frans Nielsen,Hitter,Detroit Red Wings,Jack Hughes,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:58Z,1,04:11,15:49,Blocked Shot,n/a,70.0,1.0,Filip Hronek,Blocker,Detroit Red Wings,Jack Hughes,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:15:19Z,1,04:11,15:49,Faceoff,n/a,69.0,22.0,Jack Hughes,Winner,New Jersey Devils,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:36Z,1,05:26,14:34,Giveaway,n/a,30.0,-38.0,Jesper Bratt,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:46Z,1,05:37,14:23,Giveaway,n/a,-99.0,-8.0,Justin Abdelkader,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:17:33Z,1,05:52,14:08,Faceoff,n/a,-69.0,22.0,Kevin Rooney,Winner,New Jersey Devils,Anthony Mantha,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:18:25Z,1,06:40,13:20,Hit,n/a,-99.0,-10.0,John Hayden,Hitter,New Jersey Devils,Dylan Larkin,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:02Z,1,06:47,13:13,Faceoff,n/a,-69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:44Z,1,07:31,12:29,Missed Shot,n/a,80.0,-9.0,Kyle Palmieri,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:38Z,1,07:47,12:13,Faceoff,n/a,20.0,-22.0,Travis Zajac,Winner,New Jersey Devils,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:22:33Z,1,08:01,11:59,Shot,Wrist Shot,-22.0,-37.0,Christoffer Ehn,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:22:41Z,1,08:01,11:59,Faceoff,n/a,-69.0,-22.0,Christoffer Ehn,Winner,Detroit Red Wings,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:22:59Z,1,08:08,11:52,Missed Shot,n/a,-78.0,-3.0,Justin Abdelkader,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:23:01Z,1,08:13,11:47,Hit,n/a,-99.0,-5.0,Mirco Mueller,Hitter,New Jersey Devils,Justin Abdelkader,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:23:50Z,1,08:26,11:34,Shot,Snap Shot,5.0,-39.0,Trevor Daley,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:10Z,1,08:28,11:32,Hit,n/a,-55.0,-41.0,Adam Erne,Hitter,Detroit Red Wings,Connor Carrick,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:25:49Z,1,08:32,11:28,Hit,n/a,-99.0,-3.0,Justin Abdelkader,Hitter,Detroit Red Wings,Mirco Mueller,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:02Z,1,09:14,10:46,Shot,Wrist Shot,-82.0,-13.0,Anthony Mantha,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:10Z,1,09:23,10:37,Shot,Wrist Shot,-82.0,-7.0,Dylan Larkin,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:22Z,1,09:34,10:26,Missed Shot,n/a,-38.0,27.0,Mike Green,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:26:48Z,1,10:05,09:55,Faceoff,n/a,0.0,0.0,Kevin Rooney,Winner,New Jersey Devils,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:27:17Z,1,10:15,09:45,Hit,n/a,98.0,10.0,John Hayden,Hitter,New Jersey Devils,Patrik Nemeth,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:27:25Z,1,10:23,09:37,Blocked Shot,n/a,80.0,-7.0,Patrik Nemeth,Blocker,Detroit Red Wings,John Hayden,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:27:58Z,1,10:56,09:04,Shot,Wrist Shot,71.0,-19.0,Kyle Palmieri,Shooter,New Jersey Devils,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:28:06Z,1,11:04,08:56,Takeaway,n/a,34.0,7.0,Luke Glendening,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:28:14Z,1,11:12,08:48,Missed Shot,n/a,57.0,22.0,Jesper Bratt,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:28:19Z,1,11:17,08:43,Shot,Snap Shot,-73.0,-7.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:28:29Z,1,11:18,08:42,Penalty,Hi-sticking,-89.0,-14.0,Andy Greene,PenaltyOn,New Jersey Devils,Tyler Bertuzzi,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:29:02Z,1,11:18,08:42,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:29:22Z,1,11:32,08:28,Missed Shot,n/a,50.0,6.0,Travis Zajac,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:30:31Z,1,12:41,07:19,Giveaway,n/a,-57.0,10.0,Andreas Athanasiou,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:30:55Z,1,13:04,06:56,Takeaway,n/a,-64.0,4.0,Damon Severson,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:31:15Z,1,13:23,06:37,Hit,n/a,-78.0,-38.0,Damon Severson,Hitter,New Jersey Devils,Robby Fabbri,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:31:51Z,1,14:01,05:59,Giveaway,n/a,33.0,39.0,Alex Biega,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:32:06Z,1,14:15,05:45,Takeaway,n/a,-30.0,-25.0,P.K. Subban,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:32:41Z,1,14:27,05:33,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:33:00Z,1,14:44,05:16,Missed Shot,n/a,82.0,-6.0,Miles Wood,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:33:11Z,1,14:55,05:05,Hit,n/a,-31.0,39.0,Pavel Zacha,Hitter,New Jersey Devils,Christoffer Ehn,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:33:17Z,1,15:02,04:58,Hit,n/a,14.0,41.0,Justin Abdelkader,Hitter,Detroit Red Wings,Pavel Zacha,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:35:34Z,1,15:09,04:51,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:36:00Z,1,15:29,04:31,Hit,n/a,51.0,40.0,Blake Coleman,Hitter,New Jersey Devils,Mike Green,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:36:16Z,1,15:43,04:17,Giveaway,n/a,-50.0,-19.0,Tyler Bertuzzi,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:36:34Z,1,16:03,03:57,Missed Shot,n/a,-61.0,27.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:37:14Z,1,16:03,03:57,Faceoff,n/a,-69.0,-22.0,Pavel Zacha,Winner,New Jersey Devils,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:37:11Z,1,16:09,03:51,Takeaway,n/a,-92.0,-31.0,Dylan Larkin,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:37:19Z,1,16:17,03:43,Shot,Snap Shot,-44.0,4.0,Dylan Larkin,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:37:25Z,1,16:22,03:38,Blocked Shot,n/a,-74.0,5.0,Miles Wood,Blocker,New Jersey Devils,Darren Helm,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:37:31Z,1,16:28,03:32,Shot,Snap Shot,-47.0,-11.0,Alex Biega,Shooter,Detroit Red Wings,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
