Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T00:37:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:38:30Z,1,00:24,19:36,Hit,n/a,24.0,-37.0,Jakob Chychrun,Hitter,Arizona Coyotes,Drake Batherson,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:38:59Z,1,00:53,19:07,Blocked Shot,n/a,-72.0,18.0,Mike Reilly,Blocker,Ottawa Senators,Taylor Hall,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:39:38Z,1,01:21,18:39,Faceoff,n/a,-69.0,22.0,Artem Anisimov,Winner,Ottawa Senators,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:07Z,1,01:32,18:28,Takeaway,n/a,48.0,-25.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:09Z,1,01:34,18:26,Shot,Backhand,85.0,-25.0,Nick Paul,Shooter,Ottawa Senators,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:09Z,1,01:40,18:20,Missed Shot,n/a,-97.0,12.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:09Z,1,01:42,18:18,Blocked Shot,n/a,-86.0,-4.0,Mark Borowiecki,Blocker,Ottawa Senators,Derek Stepan,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:31Z,1,01:55,18:05,Blocked Shot,n/a,-61.0,-3.0,Nick Paul,Blocker,Ottawa Senators,Jordan Oesterle,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:40:52Z,1,02:16,17:44,Hit,n/a,87.0,35.0,Jordan Oesterle,Hitter,Arizona Coyotes,Tyler Ennis,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:41:04Z,1,02:29,17:31,Missed Shot,n/a,31.0,36.0,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:41:11Z,1,02:36,17:24,Blocked Shot,n/a,74.0,1.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Tyler Ennis,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:41:26Z,1,02:50,17:10,Goal,Snap Shot,83.0,7.0,Vladislav Namestnikov,Scorer,Ottawa Senators,Drake Batherson,Assist,Ottawa Senators,Chris Tierney,Assist,Ottawa Senators,Antti Raanta,Goalie,Arizona Coyotes
2020-02-14T00:41:51Z,1,02:50,17:10,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:42:20Z,1,03:11,16:49,Takeaway,n/a,52.0,-18.0,Jakob Chychrun,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:42:20Z,1,03:18,16:42,Hit,n/a,-43.0,-39.0,Nikita Zaitsev,Hitter,Ottawa Senators,Alex Goligoski,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:42:39Z,1,03:19,16:41,Giveaway,n/a,-93.0,-15.0,Vladislav Namestnikov,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:42:34Z,1,03:21,16:39,Shot,Wrist Shot,-78.0,-22.0,Clayton Keller,Shooter,Arizona Coyotes,Marcus Hogberg,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:42:55Z,1,03:22,16:38,Faceoff,n/a,-69.0,-22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:43:22Z,1,03:39,16:21,Hit,n/a,48.0,-37.0,Brady Tkachuk,Hitter,Ottawa Senators,Niklas Hjalmarsson,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:43:39Z,1,03:55,16:05,Giveaway,n/a,-80.0,37.0,Taylor Hall,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:43:49Z,1,04:06,15:54,Hit,n/a,59.0,37.0,Brady Tkachuk,Hitter,Ottawa Senators,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:44:06Z,1,04:20,15:40,Shot,Backhand,46.0,-16.0,Artem Anisimov,Shooter,Ottawa Senators,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:44:25Z,1,04:21,15:39,Faceoff,n/a,69.0,-22.0,Brad Richardson,Winner,Arizona Coyotes,Nick Paul,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:44:38Z,1,04:26,15:34,Takeaway,n/a,91.0,22.0,Anthony Duclair,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
