Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T01:03:16Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Riley Sheahan,Winner,Edmonton Oilers,Tyler Johnson,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:09:14Z,1,00:25,19:35,Hit,n/a,-95.0,30.0,Josh Archibald,Hitter,Edmonton Oilers,Kevin Shattenkirk,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:09:58Z,1,00:48,19:12,Faceoff,n/a,-69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:10:10Z,1,00:55,19:05,Shot,Snap Shot,-49.0,-20.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:10:29Z,1,01:13,18:47,Blocked Shot,n/a,63.0,6.0,Ryan Nugent-Hopkins,Blocker,Edmonton Oilers,Victor Hedman,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:10:37Z,1,01:21,18:39,Hit,n/a,84.0,34.0,Ondrej Palat,Hitter,Tampa Bay Lightning,Ethan Bear,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:11:13Z,1,01:58,18:02,Hit,n/a,-96.0,-4.0,Gaetan Haas,Hitter,Edmonton Oilers,Braydon Coburn,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:17Z,1,02:12,17:48,Faceoff,n/a,-69.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:03Z,1,02:23,17:37,Hit,n/a,17.0,-40.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Jujhar Khaira,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:12:58Z,1,03:18,16:42,Shot,Tip-In,81.0,-9.0,Mathieu Joseph,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:05Z,1,03:25,16:35,Shot,Wrist Shot,76.0,-2.0,Tyler Johnson,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:37Z,1,03:26,16:34,Shot,Slap Shot,50.0,18.0,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:17Z,1,03:37,16:23,Missed Shot,n/a,77.0,-9.0,Tyler Johnson,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:25Z,1,03:41,16:19,Shot,Slap Shot,74.0,12.0,Mathieu Joseph,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:13:30Z,1,03:49,16:11,Hit,n/a,-96.0,-20.0,Mikhail Sergachev,Hitter,Tampa Bay Lightning,Josh Archibald,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:03Z,1,04:23,15:37,Shot,Slap Shot,31.0,23.0,Victor Hedman,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:09Z,1,04:28,15:32,Hit,n/a,96.0,-25.0,Matt Benning,Hitter,Edmonton Oilers,Yanni Gourde,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:14Z,1,04:34,15:26,Shot,Tip-In,72.0,-2.0,Yanni Gourde,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:19Z,1,04:39,15:21,Shot,Wrist Shot,40.0,-20.0,Erik Cernak,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:27Z,1,04:43,15:17,Hit,n/a,86.0,-36.0,Caleb Jones,Hitter,Edmonton Oilers,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:14:35Z,1,04:51,15:09,Giveaway,n/a,95.0,-1.0,Yanni Gourde,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:15:24Z,1,05:12,14:48,Faceoff,n/a,69.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:08Z,1,05:22,14:38,Faceoff,n/a,-20.0,22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:32Z,1,05:36,14:24,Faceoff,n/a,69.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:16:53Z,1,05:48,14:12,Blocked Shot,n/a,-71.0,-10.0,Mikhail Sergachev,Blocker,Tampa Bay Lightning,Sam Gagner,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:17:34Z,1,05:48,14:12,Faceoff,n/a,-69.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:17:39Z,1,06:08,13:52,Hit,n/a,41.0,40.0,Gaetan Haas,Hitter,Edmonton Oilers,Mikhail Sergachev,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:17:43Z,1,06:12,13:48,Shot,Slap Shot,38.0,21.0,Pat Maroon,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:17:51Z,1,06:18,13:42,Shot,Wrist Shot,62.0,-7.0,Mikhail Sergachev,Shooter,Tampa Bay Lightning,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:19:55Z,1,06:19,13:41,Faceoff,n/a,69.0,22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:20:42Z,1,06:45,13:15,Hit,n/a,-92.0,23.0,Jujhar Khaira,Hitter,Edmonton Oilers,Braydon Coburn,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:20:52Z,1,06:56,13:04,Hit,n/a,85.0,-35.0,Alexander Volkov,Hitter,Tampa Bay Lightning,Adam Larsson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:08Z,1,07:12,12:48,Giveaway,n/a,-44.0,-35.0,Erik Cernak,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:12Z,1,07:16,12:44,Shot,Wrist Shot,-69.0,-10.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:23Z,1,07:27,12:33,Blocked Shot,n/a,-72.0,-3.0,Victor Hedman,Blocker,Tampa Bay Lightning,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:25Z,1,07:29,12:31,Hit,n/a,63.0,-40.0,Darnell Nurse,Hitter,Edmonton Oilers,Tyler Johnson,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:21:36Z,1,07:40,12:20,Hit,n/a,44.0,-40.0,Erik Cernak,Hitter,Tampa Bay Lightning,Ryan Nugent-Hopkins,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:22:04Z,1,08:08,11:52,Takeaway,n/a,-34.0,-31.0,Alex Killorn,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:22:42Z,1,08:23,11:37,Faceoff,n/a,0.0,0.0,Yanni Gourde,Winner,Tampa Bay Lightning,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:23:09Z,1,08:36,11:24,Faceoff,n/a,69.0,22.0,Riley Sheahan,Winner,Edmonton Oilers,Yanni Gourde,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:23:51Z,1,09:01,10:59,Hit,n/a,92.0,-30.0,Riley Sheahan,Hitter,Edmonton Oilers,Kevin Shattenkirk,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:22Z,1,09:32,10:28,Giveaway,n/a,76.0,-16.0,Oscar Klefbom,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:33Z,1,09:35,10:25,Hit,n/a,35.0,-38.0,Cameron Gaunce,Hitter,Tampa Bay Lightning,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:24:48Z,1,09:39,10:21,Faceoff,n/a,-69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Cedric Paquette,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:25:07Z,1,09:47,10:13,Shot,Wrist Shot,-41.0,-8.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T00:25:41Z,1,10:22,09:38,Takeaway,n/a,21.0,3.0,Victor Hedman,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
