Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-14T03:08:22Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:08:53Z,1,00:16,19:44,Hit,n/a,81.0,39.0,Tomas Nosek,Hitter,Vegas Golden Knights,David Perron,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:08:59Z,1,00:21,19:39,Shot,Wrist Shot,43.0,-25.0,Alex Pietrangelo,Shooter,St. Louis Blues,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:09:02Z,1,00:24,19:36,Hit,n/a,88.0,34.0,Tomas Nosek,Hitter,Vegas Golden Knights,Ryan O'Reilly,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:09:08Z,1,00:25,19:35,Goal,Wrist Shot,53.0,28.0,Zach Sanford,Scorer,St. Louis Blues,Ryan O'Reilly,Assist,St. Louis Blues,Alex Pietrangelo,Assist,St. Louis Blues,Malcolm Subban,Goalie,Vegas Golden Knights
2020-02-14T03:09:42Z,1,00:25,19:35,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:09:55Z,1,00:37,19:23,Takeaway,n/a,15.0,-28.0,Reilly Smith,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:10Z,1,00:53,19:07,Shot,Wrist Shot,-74.0,14.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:21Z,1,01:04,18:56,Hit,n/a,97.0,0.0,Brayden Schenn,Hitter,St. Louis Blues,Shea Theodore,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:41Z,1,01:21,18:39,Giveaway,n/a,11.0,39.0,Nate Schmidt,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:46Z,1,01:28,18:32,Hit,n/a,-18.0,-39.0,Mark Stone,Hitter,Vegas Golden Knights,Zach Sanford,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:10:47Z,1,01:30,18:30,Shot,Slap Shot,-50.0,4.0,Max Pacioretty,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:03Z,1,01:31,18:29,Faceoff,n/a,-69.0,-22.0,Max Pacioretty,Winner,Vegas Golden Knights,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:24Z,1,01:36,18:24,Takeaway,n/a,-99.0,0.0,Mark Stone,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:36Z,1,01:48,18:12,Missed Shot,n/a,-76.0,7.0,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:11:42Z,1,01:50,18:10,Penalty,Cross checking,-98.0,3.0,Robert Bortuzzo,PenaltyOn,St. Louis Blues,Max Pacioretty,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:12:04Z,1,01:50,18:10,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:12:20Z,1,01:57,18:03,Giveaway,n/a,-78.0,-2.0,Colton Parayko,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:12:20Z,1,01:59,18:01,Goal,Snap Shot,-57.0,-31.0,Max Pacioretty,Scorer,Vegas Golden Knights,Mark Stone,Assist,Vegas Golden Knights,Shea Theodore,Assist,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues
2020-02-14T03:12:58Z,1,01:59,18:01,Faceoff,n/a,0.0,0.0,Robert Thomas,Winner,St. Louis Blues,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:13:15Z,1,02:16,17:44,Shot,Wrist Shot,-59.0,-3.0,Alex Tuch,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:13:45Z,1,02:26,17:34,Faceoff,n/a,20.0,-22.0,Tomas Nosek,Winner,Vegas Golden Knights,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:00Z,1,02:32,17:28,Takeaway,n/a,77.0,40.0,Mackenzie MacEachern,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:07Z,1,02:34,17:26,Hit,n/a,97.0,0.0,Nick Holden,Hitter,Vegas Golden Knights,Mackenzie MacEachern,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:02Z,1,02:35,17:25,Shot,Wrist Shot,88.0,32.0,Mackenzie MacEachern,Shooter,St. Louis Blues,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:07Z,1,02:36,17:24,Penalty,Tripping,93.0,25.0,Jordan Kyrou,PenaltyOn,St. Louis Blues,Deryk Engelland,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:33Z,1,02:36,17:24,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:46Z,1,02:45,17:15,Blocked Shot,n/a,-69.0,-10.0,Ryan O'Reilly,Blocker,St. Louis Blues,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:14:56Z,1,02:55,17:05,Blocked Shot,n/a,-76.0,4.0,Colton Parayko,Blocker,St. Louis Blues,Mark Stone,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:15:05Z,1,03:03,16:57,Shot,Wrist Shot,-68.0,2.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:15:23Z,1,03:03,16:57,Faceoff,n/a,-69.0,-22.0,Tyler Bozak,Winner,St. Louis Blues,Max Pacioretty,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:15:49Z,1,03:14,16:46,Shot,Slap Shot,-31.0,2.0,Shea Theodore,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:16:03Z,1,03:15,16:45,Faceoff,n/a,-69.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:17:05Z,1,04:03,15:57,Hit,n/a,-98.0,-1.0,Robert Bortuzzo,Hitter,St. Louis Blues,Reilly Smith,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:17:29Z,1,04:27,15:33,Missed Shot,n/a,-38.0,5.0,Nate Schmidt,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:17:31Z,1,04:28,15:32,Shot,Wrist Shot,-79.0,-6.0,William Karlsson,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:17:56Z,1,04:54,15:06,Hit,n/a,-96.0,21.0,Ryan Reaves,Hitter,Vegas Golden Knights,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:18:33Z,1,05:31,14:29,Hit,n/a,35.0,-40.0,Sammy Blais,Hitter,St. Louis Blues,Paul Stastny,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:19:00Z,1,05:58,14:02,Hit,n/a,44.0,40.0,Deryk Engelland,Hitter,Vegas Golden Knights,Robert Thomas,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:20:46Z,1,06:13,13:47,Faceoff,n/a,-20.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Mark Stone,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:21:44Z,1,06:17,13:43,Faceoff,n/a,20.0,-22.0,Max Pacioretty,Winner,Vegas Golden Knights,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:22:09Z,1,06:33,13:27,Shot,Wrist Shot,-72.0,6.0,William Karlsson,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:22:11Z,1,06:34,13:26,Goal,Wrist Shot,-77.0,1.0,Max Pacioretty,Scorer,Vegas Golden Knights,William Karlsson,Assist,Vegas Golden Knights,Mark Stone,Assist,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues
2020-02-14T03:22:50Z,1,06:34,13:26,Faceoff,n/a,0.0,0.0,Cody Eakin,Winner,Vegas Golden Knights,Jordan Kyrou,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:23:30Z,1,06:50,13:10,Hit,n/a,-84.0,-33.0,Carl Gunnarsson,Hitter,St. Louis Blues,Cody Eakin,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:23:45Z,1,07:05,12:55,Hit,n/a,33.0,3.0,Ivan Barbashev,Hitter,St. Louis Blues,Cody Eakin,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:23:46Z,1,07:06,12:54,Shot,Wrist Shot,-66.0,-4.0,Chandler Stephenson,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:24:08Z,1,07:15,12:45,Faceoff,n/a,-69.0,-22.0,Ivan Barbashev,Winner,St. Louis Blues,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:24:31Z,1,07:28,12:32,Hit,n/a,-45.0,-37.0,Robert Bortuzzo,Hitter,St. Louis Blues,William Carrier,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:24:39Z,1,07:35,12:25,Blocked Shot,n/a,-55.0,-23.0,Mackenzie MacEachern,Blocker,St. Louis Blues,Jon Merrill,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:24:47Z,1,07:43,12:17,Hit,n/a,-89.0,-32.0,Ryan Reaves,Hitter,Vegas Golden Knights,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:25:34Z,1,08:13,11:47,Faceoff,n/a,20.0,22.0,Robert Thomas,Winner,St. Louis Blues,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:25:48Z,1,08:22,11:38,Hit,n/a,96.0,18.0,Sammy Blais,Hitter,St. Louis Blues,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:26:02Z,1,08:26,11:34,Faceoff,n/a,69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:26:18Z,1,08:30,11:30,Hit,n/a,92.0,-24.0,Sammy Blais,Hitter,St. Louis Blues,Nick Holden,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:26:30Z,1,08:42,11:18,Shot,Slap Shot,44.0,-23.0,Colton Parayko,Shooter,St. Louis Blues,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:26:35Z,1,08:47,11:13,Blocked Shot,n/a,82.0,4.0,Deryk Engelland,Blocker,Vegas Golden Knights,Robert Thomas,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:27:30Z,1,09:41,10:19,Goal,Backhand,79.0,1.0,Zach Sanford,Scorer,St. Louis Blues,Robert Bortuzzo,Assist,St. Louis Blues,David Perron,Assist,St. Louis Blues,Malcolm Subban,Goalie,Vegas Golden Knights
2020-02-14T03:28:11Z,1,09:41,10:19,Faceoff,n/a,0.0,0.0,Cody Eakin,Winner,Vegas Golden Knights,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:28:21Z,1,09:53,10:07,Hit,n/a,45.0,-36.0,Jaden Schwartz,Hitter,St. Louis Blues,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:29:20Z,1,10:52,09:08,Giveaway,n/a,35.0,-28.0,Colton Parayko,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:29:22Z,1,10:54,09:06,Shot,Wrist Shot,-77.0,-3.0,Ryan Reaves,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-14T03:29:23Z,1,10:55,09:05,Shot,Wrist Shot,-78.0,1.0,Tomas Nosek,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
