Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-15T00:09:00Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:09:13Z,1,00:10,19:50,Blocked Shot,n/a,62.0,-15.0,Jaccob Slavin,Blocker,Carolina Hurricanes,Travis Zajac,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:09:29Z,1,00:11,19:49,Faceoff,n/a,69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:10:03Z,1,00:20,19:40,Hit,n/a,-35.0,41.0,P.K. Subban,Hitter,New Jersey Devils,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:10:31Z,1,00:47,19:13,Takeaway,n/a,90.0,-31.0,Pavel Zacha,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:10:42Z,1,00:59,19:01,Missed Shot,n/a,35.0,14.0,Will Butcher,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:11:01Z,1,01:13,18:47,Penalty,Holding,48.0,-38.0,Jordan Staal,PenaltyOn,Carolina Hurricanes,Miles Wood,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:11:20Z,1,01:13,18:47,Faceoff,n/a,69.0,22.0,Jack Hughes,Winner,New Jersey Devils,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:11:37Z,1,01:31,18:29,Shot,Tip-In,74.0,-2.0,Blake Coleman,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:11:58Z,1,01:52,18:08,Shot,Snap Shot,70.0,-9.0,Blake Coleman,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:12:06Z,1,01:58,18:02,Shot,Wrist Shot,65.0,-24.0,Kyle Palmieri,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:12:55Z,1,01:59,18:01,Faceoff,n/a,69.0,-22.0,Pavel Zacha,Winner,New Jersey Devils,Erik Haula,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:12:55Z,1,02:05,17:55,Shot,Wrist Shot,59.0,3.0,Pavel Zacha,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:13:34Z,1,02:38,17:22,Takeaway,n/a,53.0,-41.0,Teuvo Teravainen,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:14:17Z,1,03:25,16:35,Hit,n/a,98.0,-9.0,Nicholas Merkley,Hitter,New Jersey Devils,Haydn Fleury,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:14:09Z,1,03:35,16:25,Missed Shot,n/a,-41.0,-8.0,Haydn Fleury,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:14:31Z,1,03:43,16:17,Goal,Slap Shot,-33.0,35.0,Nino Niederreiter,Scorer,Carolina Hurricanes,Haydn Fleury,Assist,Carolina Hurricanes,Martin Necas,Assist,Carolina Hurricanes,Louis Domingue,Goalie,New Jersey Devils
2020-02-15T00:15:06Z,1,03:43,16:17,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:15:15Z,1,03:52,16:08,Shot,Snap Shot,1.0,-6.0,Nikita Gusev,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:15:23Z,1,03:58,16:02,Missed Shot,n/a,62.0,23.0,Travis Zajac,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:15:49Z,1,04:10,15:50,Giveaway,n/a,22.0,-39.0,Warren Foegele,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:15:43Z,1,04:18,15:42,Shot,Wrist Shot,45.0,35.0,Nikita Gusev,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:16:22Z,1,04:40,15:20,Giveaway,n/a,47.0,5.0,Kyle Palmieri,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:16:52Z,1,05:01,14:59,Faceoff,n/a,-69.0,-22.0,Pavel Zacha,Winner,New Jersey Devils,Erik Haula,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:17:33Z,1,05:21,14:39,Hit,n/a,-74.0,31.0,Erik Haula,Hitter,Carolina Hurricanes,Andy Greene,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:16Z,1,06:07,13:53,Giveaway,n/a,96.0,7.0,Petr Mrazek,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:06Z,1,06:12,13:48,Missed Shot,n/a,74.0,2.0,Kevin Rooney,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:34Z,1,06:15,13:45,Hit,n/a,95.0,-24.0,Ryan Dzingel,Hitter,Carolina Hurricanes,Kevin Rooney,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:17Z,1,06:21,13:39,Shot,Wrist Shot,60.0,40.0,Joey Anderson,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:59Z,1,06:47,13:13,Giveaway,n/a,-89.0,36.0,Colton White,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:44Z,1,06:50,13:10,Shot,Wrist Shot,-66.0,11.0,Jordan Staal,Shooter,Carolina Hurricanes,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:18:57Z,1,06:58,13:02,Blocked Shot,n/a,-51.0,21.0,Blake Coleman,Blocker,New Jersey Devils,Jaccob Slavin,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:19:16Z,1,07:07,12:53,Goal,Wrist Shot,78.0,-2.0,Mirco Mueller,Scorer,New Jersey Devils,Travis Zajac,Assist,New Jersey Devils,Nikita Gusev,Assist,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes
2020-02-15T00:19:46Z,1,07:07,12:53,Faceoff,n/a,0.0,0.0,Martin Necas,Winner,Carolina Hurricanes,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:22:27Z,1,07:40,12:20,Faceoff,n/a,69.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:23:01Z,1,07:59,12:01,Missed Shot,n/a,-35.0,-5.0,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:23:20Z,1,08:00,12:00,Hit,n/a,-82.0,33.0,Sebastian Aho,Hitter,Carolina Hurricanes,Will Butcher,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:23:30Z,1,08:10,11:50,Takeaway,n/a,79.0,38.0,Jake Gardiner,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:23:59Z,1,08:42,11:18,Hit,n/a,86.0,-37.0,Joey Anderson,Hitter,New Jersey Devils,Lucas Wallmark,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:24:12Z,1,09:09,10:51,Missed Shot,n/a,-33.0,-31.0,Haydn Fleury,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:24:23Z,1,09:20,10:40,Shot,Slap Shot,41.0,0.0,Nikita Gusev,Shooter,New Jersey Devils,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:24:56Z,1,09:36,10:24,Giveaway,n/a,-25.0,3.0,Nikita Gusev,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-15T00:27:48Z,1,10:51,09:09,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
