Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-16T21:08:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:08:49Z,1,00:06,19:54,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:08:58Z,1,00:12,19:48,Goal,Wrist Shot,-40.0,38.0,Trevor van Riemsdyk,Scorer,Carolina Hurricanes,Jaccob Slavin,Assist,Carolina Hurricanes,Sebastian Aho,Assist,Carolina Hurricanes,Mike Smith,Goalie,Edmonton Oilers
2020-02-16T21:09:43Z,1,00:12,19:48,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:10:11Z,1,00:46,19:14,Shot,Slap Shot,33.0,33.0,Adam Larsson,Shooter,Edmonton Oilers,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:10:31Z,1,00:47,19:13,Faceoff,n/a,69.0,22.0,Riley Sheahan,Winner,Edmonton Oilers,Erik Haula,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:11:29Z,1,01:10,18:50,Faceoff,n/a,-20.0,22.0,Justin Williams,Winner,Carolina Hurricanes,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:11:55Z,1,01:16,18:44,Giveaway,n/a,-92.0,15.0,Caleb Jones,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:11:43Z,1,01:23,18:37,Shot,Wrist Shot,-89.0,-31.0,Justin Williams,Shooter,Carolina Hurricanes,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T21:11:56Z,1,01:37,18:23,Shot,Wrist Shot,-35.0,-26.0,Haydn Fleury,Shooter,Carolina Hurricanes,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
