Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-16T23:08:00Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:08:49Z,1,00:13,19:47,Missed Shot,n/a,-73.0,17.0,Boone Jenner,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:08:54Z,1,00:14,19:46,Hit,n/a,-85.0,-37.0,Nathan Gerbe,Hitter,Columbus Blue Jackets,Nikita Gusev,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:09:08Z,1,00:32,19:28,Blocked Shot,n/a,-74.0,21.0,Will Butcher,Blocker,New Jersey Devils,Boone Jenner,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:09:44Z,1,01:08,18:52,Hit,n/a,82.0,37.0,Nico Hischier,Hitter,New Jersey Devils,Vladislav Gavrikov,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:10:03Z,1,01:08,18:52,Faceoff,n/a,0.0,0.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:10:21Z,1,01:15,18:45,Giveaway,n/a,-95.0,-10.0,Mackenzie Blackwood,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:10:47Z,1,01:44,18:16,Giveaway,n/a,-30.0,39.0,Colton White,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:11:05Z,1,02:03,17:57,Shot,Snap Shot,47.0,-24.0,Pavel Zacha,Shooter,New Jersey Devils,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:11:27Z,1,02:03,17:57,Faceoff,n/a,69.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Wayne Simmonds,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:11:59Z,1,02:27,17:33,Shot,Backhand,-79.0,-2.0,Sonny Milano,Shooter,Columbus Blue Jackets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T23:12:16Z,1,02:28,17:32,Goal,Wrist Shot,-66.0,-1.0,Andrew Peeke,Scorer,Columbus Blue Jackets,Sonny Milano,Assist,Columbus Blue Jackets,Pierre-Luc Dubois,Assist,Columbus Blue Jackets,Mackenzie Blackwood,Goalie,New Jersey Devils
2020-02-16T23:12:38Z,1,02:28,17:32,Faceoff,n/a,0.0,0.0,Kevin Rooney,Winner,New Jersey Devils,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
