Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-16T17:42:12Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Frans Nielsen,Winner,Detroit Red Wings,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:42:57Z,1,00:19,19:41,Hit,n/a,44.0,41.0,Luke Glendening,Hitter,Detroit Red Wings,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:43:28Z,1,00:34,19:26,Hit,n/a,50.0,40.0,Frans Nielsen,Hitter,Detroit Red Wings,Bryan Rust,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:43:47Z,1,01:09,18:51,Giveaway,n/a,-60.0,26.0,Dominik Simon,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:44:17Z,1,01:31,18:29,Takeaway,n/a,63.0,-41.0,Chad Ruhwedel,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:56:23Z,1,01:45,18:15,Giveaway,n/a,44.0,38.0,Zach Aston-Reese,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:44:59Z,1,02:21,17:39,Shot,Wrist Shot,-57.0,2.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:45:10Z,1,02:32,17:28,Hit,n/a,-60.0,39.0,Justin Abdelkader,Hitter,Detroit Red Wings,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:45:23Z,1,02:45,17:15,Hit,n/a,98.0,-10.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Filip Hronek,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:45:27Z,1,02:49,17:11,Missed Shot,n/a,35.0,32.0,Jack Johnson,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:45:54Z,1,03:15,16:45,Shot,Snap Shot,-37.0,31.0,Madison Bowey,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:46:01Z,1,03:23,16:37,Hit,n/a,-82.0,-38.0,Justin Abdelkader,Hitter,Detroit Red Wings,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:46:09Z,1,03:31,16:29,Giveaway,n/a,-39.0,-19.0,Gustav Lindstrom,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:46:16Z,1,03:37,16:23,Hit,n/a,98.0,-16.0,Madison Bowey,Hitter,Detroit Red Wings,Bryan Rust,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:46:17Z,1,03:39,16:21,Missed Shot,n/a,39.0,-15.0,Chad Ruhwedel,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T17:46:22Z,1,03:43,16:17,Takeaway,n/a,46.0,36.0,Jared McCann,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
