Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-16T22:13:43Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Getzlaf,Winner,Anaheim Ducks,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:14:29Z,1,00:38,19:22,Blocked Shot,n/a,84.0,4.0,Loui Eriksson,Blocker,Vancouver Canucks,Rickard Rakell,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:15:00Z,1,01:09,18:51,Giveaway,n/a,32.0,-15.0,Adam Gaudette,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:15:07Z,1,01:16,18:44,Blocked Shot,n/a,78.0,3.0,Troy Stecher,Blocker,Vancouver Canucks,Brendan Guhle,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:15:50Z,1,01:33,18:27,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:15:58Z,1,01:38,18:22,Shot,Wrist Shot,-42.0,-35.0,Jake Virtanen,Shooter,Vancouver Canucks,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:16:01Z,1,01:43,18:17,Hit,n/a,-41.0,-37.0,Cam Fowler,Hitter,Anaheim Ducks,Jake Virtanen,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:16:09Z,1,01:51,18:09,Blocked Shot,n/a,-60.0,-6.0,Troy Terry,Blocker,Anaheim Ducks,Quinn Hughes,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:16:19Z,1,02:01,17:59,Blocked Shot,n/a,-67.0,-1.0,Brendan Guhle,Blocker,Anaheim Ducks,Christopher Tanev,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:16:38Z,1,02:20,17:40,Hit,n/a,-96.0,-11.0,Zack MacEwen,Hitter,Vancouver Canucks,Korbinian Holzer,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T22:17:08Z,1,02:50,17:10,Hit,n/a,-96.0,20.0,Zack MacEwen,Hitter,Vancouver Canucks,Hampus Lindholm,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
