Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-17T21:08:56Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Derek Grant,Winner,Anaheim Ducks,Sam Bennett,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:09:39Z,1,00:20,19:40,Hit,n/a,32.0,38.0,Sam Bennett,Hitter,Calgary Flames,Derek Grant,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:10:44Z,1,01:25,18:35,Giveaway,n/a,-94.0,-10.0,Matthew Tkachuk,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:11:19Z,1,02:00,18:00,Missed Shot,n/a,57.0,-18.0,Hampus Lindholm,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:12:18Z,1,02:58,17:02,Hit,n/a,14.0,-40.0,Milan Lucic,Hitter,Calgary Flames,Sam Steel,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:12:24Z,1,03:04,16:56,Shot,Wrist Shot,-78.0,-20.0,Tobias Rieder,Shooter,Calgary Flames,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:12:42Z,1,03:04,16:56,Faceoff,n/a,-69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Milan Lucic,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:13:10Z,1,03:12,16:48,Hit,n/a,-97.0,9.0,Dillon Dube,Hitter,Calgary Flames,Brendan Guhle,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:13:20Z,1,03:22,16:38,Shot,Backhand,-73.0,-1.0,Sam Bennett,Shooter,Calgary Flames,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:13:53Z,1,03:22,16:38,Faceoff,n/a,-69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Tobias Rieder,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:14:27Z,1,03:39,16:21,Faceoff,n/a,-20.0,22.0,Derek Grant,Winner,Anaheim Ducks,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:15:05Z,1,04:10,15:50,Giveaway,n/a,62.0,36.0,Rasmus Andersson,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-17T21:15:15Z,1,04:20,15:40,Missed Shot,n/a,41.0,26.0,Hampus Lindholm,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
