Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-19T00:08:12Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:09:10Z,1,00:11,19:49,Faceoff,n/a,-69.0,22.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:10:02Z,1,00:44,19:16,Hit,n/a,-89.0,-31.0,Kevin Hayes,Hitter,Philadelphia Flyers,Markus Nutivaara,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:10:14Z,1,00:52,19:08,Blocked Shot,n/a,75.0,-14.0,Matt Niskanen,Blocker,Philadelphia Flyers,Nick Foligno,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:10:37Z,1,00:52,19:08,Faceoff,n/a,69.0,-22.0,Scott Laughton,Winner,Philadelphia Flyers,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:10:45Z,1,00:57,19:03,Hit,n/a,3.0,39.0,Zach Werenski,Hitter,Columbus Blue Jackets,Tyler Pitlick,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:11:13Z,1,01:06,18:54,Faceoff,n/a,-20.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:11:26Z,1,01:14,18:46,Hit,n/a,23.0,37.0,Matt Niskanen,Hitter,Philadelphia Flyers,Sonny Milano,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:12:27Z,1,02:07,17:53,Giveaway,n/a,64.0,-35.0,Robert Hagg,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:12:24Z,1,02:11,17:49,Missed Shot,n/a,32.0,-35.0,David Savard,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:12:56Z,1,02:36,17:24,Faceoff,n/a,69.0,-22.0,Oliver Bjorkstrand,Winner,Columbus Blue Jackets,Connor Bunnaman,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:13:36Z,1,02:53,17:07,Missed Shot,n/a,74.0,11.0,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:13:39Z,1,02:57,17:03,Hit,n/a,-42.0,-38.0,Kevin Stenlund,Hitter,Columbus Blue Jackets,Michael Raffl,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:13:59Z,1,03:18,16:42,Hit,n/a,-93.0,28.0,Joel Farabee,Hitter,Philadelphia Flyers,Andrew Peeke,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:14:12Z,1,03:28,16:32,Goal,Wrist Shot,-89.0,-13.0,Kevin Hayes,Scorer,Philadelphia Flyers,Joel Farabee,Assist,Philadelphia Flyers,Travis Konecny,Assist,Philadelphia Flyers,Elvis Merzlikins,Goalie,Columbus Blue Jackets
2020-02-19T00:14:48Z,1,03:28,16:32,Faceoff,n/a,0.0,0.0,Scott Laughton,Winner,Philadelphia Flyers,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:15:18Z,1,03:56,16:04,Hit,n/a,39.0,31.0,Matt Niskanen,Hitter,Philadelphia Flyers,Boone Jenner,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:15:54Z,1,04:30,15:30,Goal,Wrist Shot,-81.0,2.0,Sean Couturier,Scorer,Philadelphia Flyers,Claude Giroux,Assist,Philadelphia Flyers,Jakub Voracek,Assist,Philadelphia Flyers,Elvis Merzlikins,Goalie,Columbus Blue Jackets
2020-02-19T00:16:32Z,1,04:30,15:30,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:17:34Z,1,05:00,15:00,Faceoff,n/a,-20.0,-22.0,Connor Bunnaman,Winner,Philadelphia Flyers,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:17:42Z,1,05:08,14:52,Hit,n/a,-47.0,-37.0,David Savard,Hitter,Columbus Blue Jackets,Michael Raffl,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:18:17Z,1,05:22,14:38,Faceoff,n/a,-69.0,-22.0,Kevin Hayes,Winner,Philadelphia Flyers,Kevin Stenlund,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-19T00:18:33Z,1,05:28,14:32,Hit,n/a,-92.0,-28.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,Joel Farabee,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
