Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-20T01:43:56Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:09Z,1,00:15,19:45,Faceoff,n/a,69.0,22.0,Patrice Bergeron,Winner,Boston Bruins,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:22Z,1,00:29,19:31,Blocked Shot,n/a,-40.0,-23.0,Kailer Yamamoto,Blocker,Edmonton Oilers,Zdeno Chara,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:30Z,1,00:37,19:23,Giveaway,n/a,-63.0,41.0,Brad Marchand,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:38Z,1,00:45,19:15,Giveaway,n/a,-64.0,36.0,Ryan Nugent-Hopkins,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:45Z,1,00:51,19:09,Hit,n/a,-95.0,27.0,Darnell Nurse,Hitter,Edmonton Oilers,Charlie Coyle,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:45:49Z,1,00:55,19:05,Missed Shot,n/a,-74.0,8.0,Charlie Coyle,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:46:10Z,1,01:17,18:43,Shot,Backhand,-84.0,-1.0,Anders Bjork,Shooter,Boston Bruins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:46:26Z,1,01:32,18:28,Takeaway,n/a,-95.0,17.0,Caleb Jones,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-20T01:46:35Z,1,01:42,18:18,Takeaway,n/a,60.0,-1.0,Josh Archibald,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
