Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-21T00:08:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Joe Thornton,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:08:57Z,1,00:14,19:46,Missed Shot,n/a,64.0,39.0,Miles Wood,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:10Z,1,00:27,19:33,Giveaway,n/a,71.0,40.0,Brent Burns,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:18Z,1,00:35,19:25,Blocked Shot,n/a,60.0,-11.0,Radim Simek,Blocker,San Jose Sharks,Damon Severson,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:23Z,1,00:40,19:20,Takeaway,n/a,26.0,27.0,Miles Wood,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:56Z,1,01:13,18:47,Hit,n/a,-91.0,-32.0,Stefan Noesen,Hitter,San Jose Sharks,Damon Severson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:11Z,1,01:26,18:34,Takeaway,n/a,5.0,12.0,Jack Hughes,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:31Z,1,01:35,18:25,Faceoff,n/a,69.0,22.0,Joel Kellman,Winner,San Jose Sharks,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:55Z,1,01:48,18:12,Blocked Shot,n/a,-61.0,-18.0,Jesper Bratt,Blocker,New Jersey Devils,Joel Kellman,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:01Z,1,01:54,18:06,Takeaway,n/a,-3.0,40.0,Nikita Gusev,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:16Z,1,02:08,17:52,Shot,Snap Shot,52.0,-1.0,Jesper Bratt,Shooter,New Jersey Devils,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:33Z,1,02:25,17:35,Shot,Snap Shot,35.0,-30.0,John Hayden,Shooter,New Jersey Devils,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:49Z,1,02:25,17:35,Faceoff,n/a,69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:09Z,1,02:35,17:25,Shot,Snap Shot,-42.0,-34.0,Barclay Goodrow,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:27Z,1,02:53,17:07,Blocked Shot,n/a,62.0,16.0,Brent Burns,Blocker,San Jose Sharks,Kevin Rooney,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:29Z,1,02:55,17:05,Hit,n/a,83.0,37.0,Radim Simek,Hitter,San Jose Sharks,Joey Anderson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:58Z,1,03:10,16:50,Faceoff,n/a,69.0,-22.0,Travis Zajac,Winner,New Jersey Devils,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:13:33Z,1,03:14,16:46,Faceoff,n/a,20.0,-22.0,Joel Kellman,Winner,San Jose Sharks,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:13:48Z,1,03:21,16:39,Giveaway,n/a,2.0,6.0,Miles Wood,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:14:07Z,1,03:42,16:18,Blocked Shot,n/a,64.0,-3.0,Joel Kellman,Blocker,San Jose Sharks,Dakota Mermis,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:14:15Z,1,03:49,16:11,Shot,Wrist Shot,36.0,-29.0,Dakota Mermis,Shooter,New Jersey Devils,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:14:38Z,1,03:49,16:11,Faceoff,n/a,69.0,-22.0,Joe Thornton,Winner,San Jose Sharks,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:14:52Z,1,04:01,15:59,Shot,Snap Shot,-42.0,-37.0,Radim Simek,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:14:57Z,1,04:05,15:55,Hit,n/a,-99.0,8.0,Mirco Mueller,Hitter,New Jersey Devils,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:15:19Z,1,04:27,15:33,Shot,Snap Shot,-43.0,-33.0,Kevin Labanc,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:15:52Z,1,04:35,15:25,Faceoff,n/a,-69.0,22.0,Pavel Zacha,Winner,New Jersey Devils,Dylan Gambrell,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:16:09Z,1,04:51,15:09,Missed Shot,n/a,-35.0,35.0,Tim Heed,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:16:30Z,1,05:12,14:48,Hit,n/a,33.0,-40.0,Pavel Zacha,Hitter,New Jersey Devils,Noah Gregor,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:16:45Z,1,05:27,14:33,Takeaway,n/a,33.0,-38.0,Jacob Middleton,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:16:56Z,1,05:38,14:22,Hit,n/a,73.0,42.0,John Hayden,Hitter,New Jersey Devils,Tim Heed,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:17:06Z,1,05:48,14:12,Blocked Shot,n/a,43.0,21.0,Patrick Marleau,Blocker,San Jose Sharks,Dakota Mermis,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:17:45Z,1,05:49,14:11,Faceoff,n/a,69.0,22.0,Nico Hischier,Winner,New Jersey Devils,Joel Kellman,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:17:57Z,1,05:54,14:06,Hit,n/a,45.0,40.0,Kyle Palmieri,Hitter,New Jersey Devils,Melker Karlsson,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:18:45Z,1,06:44,13:16,Missed Shot,n/a,-40.0,-34.0,Timo Meier,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:18:52Z,1,06:46,13:14,Shot,Snap Shot,-36.0,35.0,Brent Burns,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:18:52Z,1,06:46,13:14,Shot,Wrist Shot,-83.0,-5.0,Timo Meier,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:20:32Z,1,06:46,13:14,Faceoff,n/a,-69.0,-22.0,Travis Zajac,Winner,New Jersey Devils,Timo Meier,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:22:08Z,1,07:04,12:56,Missed Shot,n/a,36.0,29.0,Dakota Mermis,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:22:19Z,1,07:14,12:46,Blocked Shot,n/a,-67.0,-16.0,Dakota Mermis,Blocker,New Jersey Devils,Timo Meier,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:22:47Z,1,07:14,12:46,Faceoff,n/a,-69.0,-22.0,Alexander True,Winner,San Jose Sharks,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:22:56Z,1,07:22,12:38,Goal,Slap Shot,-32.0,36.0,Tim Heed,Scorer,San Jose Sharks,Jacob Middleton,Assist,San Jose Sharks,Alexander True,Assist,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils
2020-02-21T00:23:19Z,1,07:22,12:38,Faceoff,n/a,0.0,0.0,Kevin Rooney,Winner,New Jersey Devils,Alexander True,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:24:06Z,1,07:26,12:34,Penalty,Fighting,-19.0,7.0,Jacob Middleton,PenaltyOn,San Jose Sharks,John Hayden,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:24:23Z,1,07:26,12:34,Penalty,Fighting,-21.0,-6.0,John Hayden,PenaltyOn,New Jersey Devils,Jacob Middleton,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:25:50Z,1,07:26,12:34,Penalty,Unsportsmanlike conduct,-8.0,8.0,Jacob Middleton,PenaltyOn,San Jose Sharks,Noah Gregor,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:25:58Z,1,07:26,12:34,Faceoff,n/a,69.0,22.0,Nico Hischier,Winner,New Jersey Devils,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:27:00Z,1,08:26,11:34,Shot,Snap Shot,40.0,-32.0,Damon Severson,Shooter,New Jersey Devils,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:27:51Z,1,08:26,11:34,Faceoff,n/a,69.0,22.0,Pavel Zacha,Winner,New Jersey Devils,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:27:30Z,1,08:31,11:29,Shot,Slap Shot,32.0,32.0,P.K. Subban,Shooter,New Jersey Devils,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:27:37Z,1,08:31,11:29,Faceoff,n/a,69.0,22.0,Pavel Zacha,Winner,New Jersey Devils,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:28:36Z,1,09:18,10:42,Hit,n/a,52.0,-39.0,Mario Ferraro,Hitter,San Jose Sharks,Miles Wood,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:30:03Z,1,10:46,09:14,Shot,Snap Shot,-68.0,7.0,Barclay Goodrow,Shooter,San Jose Sharks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:30:13Z,1,10:56,09:04,Blocked Shot,n/a,-63.0,-20.0,Wayne Simmonds,Blocker,New Jersey Devils,Marc-Edouard Vlasic,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:32:43Z,1,11:18,08:42,Faceoff,n/a,-69.0,-22.0,Dylan Gambrell,Winner,San Jose Sharks,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
