Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-21T00:08:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nicklas Backstrom,Winner,Washington Capitals,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:08:39Z,1,00:23,19:37,Hit,n/a,84.0,38.0,John Carlson,Hitter,Washington Capitals,Phillip Danault,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:08:37Z,1,00:24,19:36,Shot,Wrist Shot,56.0,-20.0,Tomas Tatar,Shooter,Montréal Canadiens,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:04Z,1,00:45,19:15,Faceoff,n/a,69.0,-22.0,Nick Suzuki,Winner,Montréal Canadiens,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:27Z,1,00:51,19:09,Missed Shot,n/a,32.0,-24.0,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:09:49Z,1,01:13,18:47,Blocked Shot,n/a,-68.0,19.0,Brett Kulak,Blocker,Montréal Canadiens,Evgeny Kuznetsov,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:21Z,1,01:43,18:17,Blocked Shot,n/a,-41.0,-25.0,Ilya Kovalchuk,Blocker,Montréal Canadiens,Michal Kempny,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:27Z,1,01:44,18:16,Shot,Wrist Shot,-55.0,-18.0,Lars Eller,Shooter,Washington Capitals,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:25Z,1,01:46,18:14,Takeaway,n/a,-83.0,-12.0,Lars Eller,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:25Z,1,01:48,18:12,Blocked Shot,n/a,-73.0,-17.0,Paul Byron,Blocker,Montréal Canadiens,Richard Panik,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:10:39Z,1,02:03,17:57,Shot,Wrist Shot,74.0,4.0,Max Domi,Shooter,Montréal Canadiens,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:00Z,1,02:25,17:35,Hit,n/a,-36.0,29.0,Xavier Ouellet,Hitter,Montréal Canadiens,Richard Panik,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:18Z,1,02:35,17:25,Faceoff,n/a,69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:48Z,1,02:40,17:20,Shot,Slap Shot,38.0,9.0,Xavier Ouellet,Shooter,Montréal Canadiens,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:11:55Z,1,02:48,17:12,Hit,n/a,-93.0,25.0,Garnet Hathaway,Hitter,Washington Capitals,Xavier Ouellet,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:05Z,1,02:58,17:02,Hit,n/a,-68.0,-30.0,Nic Dowd,Hitter,Washington Capitals,Jordan Weal,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T00:12:53Z,1,03:46,16:14,Missed Shot,n/a,74.0,2.0,Brendan Gallagher,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
