Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-23T01:08:28Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tyler Johnson,Winner,Tampa Bay Lightning,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:09:23Z,1,00:20,19:40,Shot,Wrist Shot,36.0,26.0,Jordan Oesterle,Shooter,Arizona Coyotes,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:09:55Z,1,00:21,19:39,Faceoff,n/a,69.0,22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:10:33Z,1,00:58,19:02,Shot,Wrist Shot,-85.0,-6.0,Brayden Point,Shooter,Tampa Bay Lightning,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:10:33Z,1,00:59,19:01,Shot,Wrist Shot,-79.0,-1.0,Steven Stamkos,Shooter,Tampa Bay Lightning,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:11:06Z,1,01:00,19:00,Faceoff,n/a,-69.0,-22.0,Yanni Gourde,Winner,Tampa Bay Lightning,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:11:21Z,1,01:22,18:38,Shot,Wrist Shot,-39.0,-31.0,Mikhail Sergachev,Shooter,Tampa Bay Lightning,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:12:10Z,1,02:11,17:49,Missed Shot,n/a,45.0,16.0,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:12:19Z,1,02:20,17:40,Blocked Shot,n/a,71.0,2.0,Blake Coleman,Blocker,Tampa Bay Lightning,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:12:36Z,1,02:37,17:23,Hit,n/a,43.0,-41.0,Erik Cernak,Hitter,Tampa Bay Lightning,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:13:00Z,1,03:01,16:59,Blocked Shot,n/a,-52.0,17.0,Taylor Hall,Blocker,Arizona Coyotes,Erik Cernak,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T01:13:26Z,1,03:27,16:33,Blocked Shot,n/a,48.0,-15.0,Victor Hedman,Blocker,Tampa Bay Lightning,Brad Richardson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
