Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-23T00:09:46Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Barclay Goodrow,Winner,San Jose Sharks,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:10:22Z,1,00:23,19:37,Hit,n/a,-56.0,38.0,Jesper Fast,Hitter,New York Rangers,Evander Kane,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:10:30Z,1,00:31,19:29,Takeaway,n/a,74.0,39.0,Adam Fox,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:10:39Z,1,00:37,19:23,Shot,Wrist Shot,81.0,1.0,Kevin Labanc,Shooter,San Jose Sharks,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:10:53Z,1,00:38,19:22,Faceoff,n/a,69.0,22.0,Joel Kellman,Winner,San Jose Sharks,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:11:21Z,1,00:52,19:08,Blocked Shot,n/a,77.0,-3.0,Jacob Trouba,Blocker,New York Rangers,Patrick Marleau,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:11:32Z,1,01:03,18:57,Hit,n/a,-27.0,-37.0,Joel Kellman,Hitter,San Jose Sharks,Phillip Di Giuseppe,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:12:16Z,1,01:45,18:15,Shot,Wrist Shot,56.0,28.0,Brent Burns,Shooter,San Jose Sharks,Igor Shesterkin,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:12:37Z,1,01:46,18:14,Faceoff,n/a,69.0,22.0,Alexander True,Winner,San Jose Sharks,Brett Howden,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:13:03Z,1,01:55,18:05,Blocked Shot,n/a,46.0,-22.0,Brendan Lemieux,Blocker,New York Rangers,Tim Heed,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
