Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-23T00:14:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sebastian Aho,Winner,Carolina Hurricanes,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:15:46Z,1,00:39,19:21,Shot,Backhand,73.0,-6.0,Andrei Svechnikov,Shooter,Carolina Hurricanes,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:15:51Z,1,00:43,19:17,Shot,Wrist Shot,78.0,1.0,Sebastian Aho,Shooter,Carolina Hurricanes,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:16:15Z,1,00:43,19:17,Faceoff,n/a,69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:16:33Z,1,00:49,19:11,Hit,n/a,78.0,41.0,Haydn Fleury,Hitter,Carolina Hurricanes,Denis Malgin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:16:45Z,1,00:59,19:01,Hit,n/a,-95.0,15.0,John Tavares,Hitter,Toronto Maple Leafs,Joel Edmundson,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:16:57Z,1,00:59,19:01,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:17:48Z,1,01:37,18:23,Takeaway,n/a,53.0,-27.0,Martin Necas,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:17:54Z,1,01:43,18:17,Shot,Wrist Shot,78.0,11.0,Jake Gardiner,Shooter,Carolina Hurricanes,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-23T00:18:01Z,1,01:51,18:09,Hit,n/a,90.0,34.0,Travis Dermott,Hitter,Toronto Maple Leafs,Nino Niederreiter,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
