Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-24T00:13:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Valtteri Filppula,Winner,Detroit Red Wings,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:13:55Z,1,00:08,19:52,Giveaway,n/a,12.0,24.0,Tyler Bertuzzi,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:14:01Z,1,00:10,19:50,Faceoff,n/a,69.0,22.0,Mikael Backlund,Winner,Calgary Flames,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:14:29Z,1,00:13,19:47,Blocked Shot,n/a,88.0,18.0,Madison Bowey,Blocker,Detroit Red Wings,Matthew Tkachuk,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:14:38Z,1,00:23,19:37,Shot,Wrist Shot,41.0,-32.0,Michael Stone,Shooter,Calgary Flames,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:14:54Z,1,00:24,19:36,Faceoff,n/a,69.0,-22.0,Frans Nielsen,Winner,Detroit Red Wings,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:15:14Z,1,00:35,19:25,Giveaway,n/a,-40.0,40.0,David Rittich,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:15:29Z,1,00:51,19:09,Hit,n/a,-91.0,27.0,Frans Nielsen,Hitter,Detroit Red Wings,Noah Hanifin,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:15:54Z,1,01:04,18:56,Faceoff,n/a,-20.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Sam Bennett,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-24T00:16:16Z,1,01:16,18:44,Takeaway,n/a,-10.0,-8.0,Anthony Mantha,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
