Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-25T00:07:55Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Colin White,Winner,Ottawa Senators,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:08:48Z,1,00:22,19:38,Blocked Shot,n/a,-79.0,-2.0,Pierre-Luc Dubois,Blocker,Columbus Blue Jackets,Brady Tkachuk,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:09:21Z,1,00:45,19:15,Faceoff,n/a,69.0,-22.0,Chris Tierney,Winner,Ottawa Senators,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:09:42Z,1,00:53,19:07,Hit,n/a,69.0,40.0,Stefan Matteau,Hitter,Columbus Blue Jackets,Connor Brown,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:09:50Z,1,01:00,19:00,Missed Shot,n/a,-70.0,8.0,Mike Reilly,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:10:21Z,1,01:32,18:28,Shot,Wrist Shot,-28.0,4.0,Artem Anisimov,Shooter,Ottawa Senators,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:10:26Z,1,01:36,18:24,Blocked Shot,n/a,-83.0,-2.0,Andrew Peeke,Blocker,Columbus Blue Jackets,Nick Paul,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:10:31Z,1,01:42,18:18,Hit,n/a,-55.0,-39.0,Jakob Lilja,Hitter,Columbus Blue Jackets,Jayce Hawryluk,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:11:03Z,1,02:12,17:48,Blocked Shot,n/a,-72.0,-11.0,Scott Harrington,Blocker,Columbus Blue Jackets,Nick Paul,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:11:34Z,1,02:12,17:48,Faceoff,n/a,-69.0,-22.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Brady Tkachuk,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:11:57Z,1,02:39,17:21,Hit,n/a,-56.0,41.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,Brady Tkachuk,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:12:12Z,1,02:57,17:03,Hit,n/a,-44.0,-40.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,Anthony Duclair,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:12:22Z,1,03:04,16:56,Giveaway,n/a,-57.0,36.0,David Savard,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:12:23Z,1,03:05,16:55,Shot,Wrist Shot,-74.0,17.0,Anthony Duclair,Shooter,Ottawa Senators,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:12:50Z,1,03:06,16:54,Faceoff,n/a,-69.0,22.0,Artem Anisimov,Winner,Ottawa Senators,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:13:04Z,1,03:19,16:41,Shot,Wrist Shot,-66.0,-6.0,Jayce Hawryluk,Shooter,Ottawa Senators,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:13:47Z,1,04:03,15:57,Hit,n/a,-77.0,-39.0,Brady Tkachuk,Hitter,Ottawa Senators,Markus Nutivaara,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:13:56Z,1,04:10,15:50,Goal,Wrist Shot,76.0,-8.0,Nick Foligno,Scorer,Columbus Blue Jackets,Pierre-Luc Dubois,Assist,Columbus Blue Jackets,Gustav Nyquist,Assist,Columbus Blue Jackets,Marcus Hogberg,Goalie,Ottawa Senators
2020-02-25T00:14:36Z,1,04:10,15:50,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:14:53Z,1,04:24,15:36,Shot,Wrist Shot,-80.0,11.0,Chris Tierney,Shooter,Ottawa Senators,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:15:02Z,1,04:33,15:27,Blocked Shot,n/a,-82.0,1.0,Markus Nutivaara,Blocker,Columbus Blue Jackets,Connor Brown,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:15:10Z,1,04:41,15:19,Missed Shot,n/a,-72.0,17.0,Anthony Duclair,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:15:21Z,1,04:52,15:08,Blocked Shot,n/a,-75.0,-15.0,Vladislav Gavrikov,Blocker,Columbus Blue Jackets,Andreas Englund,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-25T00:16:07Z,1,05:41,14:19,Hit,n/a,97.0,-7.0,Nathan Gerbe,Hitter,Columbus Blue Jackets,Mike Reilly,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
