Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-26T02:08:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:08:58Z,1,00:24,19:36,Blocked Shot,n/a,89.0,-15.0,Keith Yandle,Blocker,Florida Panthers,Brad Richardson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:09:19Z,1,00:31,19:29,Faceoff,n/a,69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:09:58Z,1,00:41,19:19,Faceoff,n/a,0.0,0.0,Erik Haula,Winner,Florida Panthers,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:10:46Z,1,01:28,18:32,Hit,n/a,-77.0,-39.0,Alex Goligoski,Hitter,Arizona Coyotes,Aleksi Saarela,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:11:02Z,1,01:35,18:25,Faceoff,n/a,-69.0,-22.0,Aleksi Saarela,Winner,Florida Panthers,Barrett Hayton,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:11:49Z,1,01:44,18:16,Shot,Snap Shot,-43.0,29.0,Anton Stralman,Shooter,Florida Panthers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:12:40Z,1,02:39,17:21,Giveaway,n/a,36.0,38.0,Jordan Oesterle,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:12:48Z,1,02:47,17:13,Blocked Shot,n/a,-59.0,-28.0,Niklas Hjalmarsson,Blocker,Arizona Coyotes,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:13:31Z,1,03:31,16:29,Blocked Shot,n/a,-64.0,-20.0,Brad Richardson,Blocker,Arizona Coyotes,Evgenii Dadonov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:13:55Z,1,03:54,16:06,Blocked Shot,n/a,61.0,8.0,Anton Stralman,Blocker,Florida Panthers,Taylor Hall,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:13:56Z,1,03:56,16:04,Hit,n/a,88.0,-36.0,Riley Stillman,Hitter,Florida Panthers,Nick Schmaltz,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:14:16Z,1,04:15,15:45,Missed Shot,n/a,-40.0,25.0,Erik Haula,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:14:44Z,1,04:43,15:17,Shot,Wrist Shot,75.0,2.0,Phil Kessel,Shooter,Arizona Coyotes,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:14:47Z,1,04:47,15:13,Takeaway,n/a,-2.0,38.0,Aleksi Saarela,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:14:56Z,1,04:55,15:05,Blocked Shot,n/a,-73.0,5.0,Aaron Ness,Blocker,Arizona Coyotes,Aleksi Saarela,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:15:39Z,1,05:17,14:43,Faceoff,n/a,69.0,-22.0,Derek Stepan,Winner,Arizona Coyotes,Lucas Wallmark,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:16:01Z,1,05:32,14:28,Shot,Slap Shot,36.0,30.0,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:16:08Z,1,05:33,14:27,Faceoff,n/a,69.0,22.0,Noel Acciari,Winner,Florida Panthers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:16:51Z,1,06:07,13:53,Missed Shot,n/a,-42.0,27.0,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:16:54Z,1,06:10,13:50,Missed Shot,n/a,-90.0,-21.0,Noel Acciari,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:17:00Z,1,06:15,13:45,Shot,Wrist Shot,-59.0,0.0,Noel Acciari,Shooter,Florida Panthers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:17:07Z,1,06:22,13:38,Blocked Shot,n/a,-65.0,-16.0,Derek Stepan,Blocker,Arizona Coyotes,Keith Yandle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:17:17Z,1,06:27,13:33,Shot,Wrist Shot,37.0,-21.0,Lawson Crouse,Shooter,Arizona Coyotes,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:19:31Z,1,06:28,13:32,Faceoff,n/a,69.0,-22.0,Vinnie Hinostroza,Winner,Arizona Coyotes,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T02:20:02Z,1,07:07,12:53,Shot,Wrist Shot,-57.0,-23.0,Aleksander Barkov,Shooter,Florida Panthers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
