Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-26T01:08:25Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:09:10Z,1,00:37,19:23,Shot,Snap Shot,-80.0,13.0,Zach Parise,Shooter,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:09:22Z,1,00:38,19:22,Shot,Wrist Shot,-82.0,9.0,Zach Parise,Shooter,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:09:38Z,1,00:39,19:21,Faceoff,n/a,-69.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:10:05Z,1,01:06,18:54,Shot,Backhand,81.0,-3.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:10:24Z,1,01:25,18:35,Shot,Wrist Shot,-78.0,-4.0,Gerald Mayhew,Shooter,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:10:35Z,1,01:34,18:26,Goal,Deflected,-86.0,5.0,Eric Staal,Scorer,Minnesota Wild,Kevin Fiala,Assist,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a
2020-02-26T01:11:14Z,1,01:34,18:26,Faceoff,n/a,0.0,0.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Alex Galchenyuk,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:11:47Z,1,02:00,18:00,Takeaway,n/a,15.0,39.0,Mats Zuccarello,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:12:14Z,1,02:23,17:37,Hit,n/a,92.0,-27.0,Devin Shore,Hitter,Columbus Blue Jackets,Brad Hunt,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:12:19Z,1,02:28,17:32,Shot,Backhand,-35.0,-32.0,Ryan Hartman,Shooter,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:12:40Z,1,02:29,17:31,Faceoff,n/a,-69.0,-22.0,Mikko Koivu,Winner,Minnesota Wild,Emil Bemstrom,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:13:35Z,1,03:12,16:48,Shot,Wrist Shot,-34.0,34.0,Matt Dumba,Shooter,Minnesota Wild,Matiss Kivlenieks,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:13:48Z,1,03:13,16:47,Faceoff,n/a,-69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:14:23Z,1,03:22,16:38,Faceoff,n/a,69.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:15:01Z,1,03:34,16:26,Faceoff,n/a,0.0,0.0,Eric Staal,Winner,Minnesota Wild,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:15:39Z,1,03:49,16:11,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:16:11Z,1,03:55,16:05,Faceoff,n/a,-69.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:17:20Z,1,04:54,15:06,Hit,n/a,-55.0,37.0,Devin Shore,Hitter,Columbus Blue Jackets,Kevin Fiala,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:17:21Z,1,04:56,15:04,Hit,n/a,-34.0,39.0,Eric Staal,Hitter,Minnesota Wild,Devin Shore,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:17:50Z,1,05:03,14:57,Faceoff,n/a,0.0,0.0,Joel Eriksson Ek,Winner,Minnesota Wild,Devin Shore,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:18:03Z,1,05:11,14:49,Penalty,Interference,-3.0,26.0,Joel Eriksson Ek,PenaltyOn,Minnesota Wild,Devin Shore,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:18:43Z,1,05:11,14:49,Faceoff,n/a,69.0,22.0,Nick Foligno,Winner,Columbus Blue Jackets,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:18:48Z,1,05:20,14:40,Blocked Shot,n/a,61.0,12.0,Jared Spurgeon,Blocker,Minnesota Wild,Kevin Stenlund,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:20:12Z,1,06:43,13:17,Missed Shot,n/a,66.0,17.0,Nathan Gerbe,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:20:19Z,1,06:51,13:09,Blocked Shot,n/a,63.0,8.0,Zach Parise,Blocker,Minnesota Wild,David Savard,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T01:20:42Z,1,07:13,12:47,Missed Shot,n/a,35.0,-7.0,Scott Harrington,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
