Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-26T00:08:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mathew Barzal,Winner,New York Islanders,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:08:47Z,1,00:38,19:22,Giveaway,n/a,50.0,36.0,Jesper Fast,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:09:05Z,1,00:57,19:03,Blocked Shot,n/a,-69.0,-2.0,Anders Lee,Blocker,New York Islanders,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:09:23Z,1,01:14,18:46,Takeaway,n/a,-10.0,-32.0,Anthony Beauvillier,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:09:32Z,1,01:23,18:37,Hit,n/a,32.0,-38.0,Brendan Smith,Hitter,New York Rangers,Anthony Beauvillier,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:09:43Z,1,01:35,18:25,Giveaway,n/a,-97.0,-5.0,Chris Kreider,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:09:56Z,1,01:47,18:13,Shot,Wrist Shot,38.0,-30.0,Johnny Boychuk,Shooter,New York Islanders,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:10:13Z,1,01:47,18:13,Faceoff,n/a,69.0,-22.0,Jean-Gabriel Pageau,Winner,New York Islanders,Brett Howden,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:10:37Z,1,01:56,18:04,Missed Shot,n/a,77.0,-3.0,Michael Dal Colle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-26T00:10:43Z,1,02:01,17:59,Blocked Shot,n/a,52.0,19.0,Brett Howden,Blocker,New York Rangers,Nick Leddy,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
