Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-27T01:09:38Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Johan Larsson,Winner,Buffalo Sabres,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:11:37Z,1,00:06,19:54,Shot,Wrist Shot,13.0,33.0,Brandon Montour,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:11:54Z,1,00:06,19:54,Faceoff,n/a,69.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:12:03Z,1,00:14,19:46,Hit,n/a,94.0,24.0,Kyle Okposo,Hitter,Buffalo Sabres,Erik Johnson,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:13:10Z,1,01:21,18:39,Penalty,Tripping,33.0,30.0,Ryan Graves,PenaltyOn,Colorado Avalanche,Jack Eichel,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:14:09Z,1,01:21,18:39,Faceoff,n/a,69.0,-22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Sam Reinhart,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:14:00Z,1,01:30,18:30,Hit,n/a,88.0,34.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Matt Nieto,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:14:07Z,1,01:37,18:23,Shot,Wrist Shot,34.0,26.0,Jack Eichel,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:14:41Z,1,01:56,18:04,Faceoff,n/a,69.0,-22.0,Tyson Jost,Winner,Colorado Avalanche,Sam Reinhart,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:00Z,1,02:03,17:57,Giveaway,n/a,95.0,23.0,Erik Johnson,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:05Z,1,02:09,17:51,Hit,n/a,94.0,25.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Ian Cole,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:26Z,1,02:29,17:31,Shot,Tip-In,82.0,-4.0,Sam Reinhart,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:40Z,1,02:44,17:16,Missed Shot,n/a,45.0,-19.0,Rasmus Dahlin,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:45Z,1,02:48,17:12,Hit,n/a,84.0,38.0,Nikita Zadorov,Hitter,Colorado Avalanche,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:15:51Z,1,02:54,17:06,Shot,Slap Shot,61.0,-25.0,Victor Olofsson,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:16:19Z,1,02:54,17:06,Faceoff,n/a,69.0,-22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Wayne Simmonds,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:16:39Z,1,03:12,16:48,Takeaway,n/a,36.0,-35.0,Matt Nieto,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:17:10Z,1,03:46,16:14,Shot,Snap Shot,37.0,16.0,Jake McCabe,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:18:05Z,1,04:40,15:20,Takeaway,n/a,91.0,-26.0,Zemgus Girgensons,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:18:09Z,1,04:41,15:19,Shot,Wrist Shot,38.0,-27.0,Rasmus Ristolainen,Shooter,Buffalo Sabres,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:18:30Z,1,04:41,15:19,Faceoff,n/a,69.0,-22.0,Sam Reinhart,Winner,Buffalo Sabres,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:18:59Z,1,05:01,14:59,Shot,Wrist Shot,-41.0,6.0,Martin Kaut,Shooter,Colorado Avalanche,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:19:10Z,1,05:10,14:50,Giveaway,n/a,-97.0,-2.0,Matt Nieto,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-27T01:19:46Z,1,05:48,14:12,Hit,n/a,95.0,-28.0,Wayne Simmonds,Hitter,Buffalo Sabres,Vladislav Namestnikov,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
