Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-28T00:09:26Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:09:51Z,1,00:25,19:35,Hit,n/a,-93.0,-27.0,Jonathan Huberdeau,Hitter,Florida Panthers,Travis Dermott,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:09:56Z,1,00:31,19:29,Hit,n/a,29.0,41.0,MacKenzie Weegar,Hitter,Florida Panthers,Mitchell Marner,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:10:48Z,1,01:22,18:38,Giveaway,n/a,15.0,-11.0,Mike Hoffman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:10:48Z,1,01:23,18:37,Missed Shot,n/a,34.0,32.0,Martin Marincin,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:12Z,1,01:46,18:14,Giveaway,n/a,-37.0,-39.0,Tyson Barrie,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:30Z,1,02:05,17:55,Shot,Wrist Shot,50.0,-24.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:33Z,1,02:07,17:53,Hit,n/a,87.0,29.0,Lucas Wallmark,Hitter,Florida Panthers,Rasmus Sandin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:39Z,1,02:14,17:46,Shot,Wrist Shot,54.0,21.0,Rasmus Sandin,Shooter,Toronto Maple Leafs,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:40Z,1,02:14,17:46,Takeaway,n/a,-18.0,34.0,Brett Connolly,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:11:57Z,1,02:23,17:37,Goal,Slap Shot,-56.0,23.0,Mark Pysyk,Scorer,Florida Panthers,Aaron Ekblad,Assist,Florida Panthers,Keith Yandle,Assist,Florida Panthers,Frederik Andersen,Goalie,Toronto Maple Leafs
2020-02-28T00:12:33Z,1,02:23,17:37,Faceoff,n/a,0.0,0.0,Frederik Gauthier,Winner,Toronto Maple Leafs,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:12:58Z,1,02:51,17:09,Missed Shot,n/a,40.0,27.0,Martin Marincin,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:13:03Z,1,02:56,17:04,Hit,n/a,-46.0,-39.0,Kyle Clifford,Hitter,Toronto Maple Leafs,Noel Acciari,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:13:43Z,1,03:29,16:31,Shot,Backhand,81.0,-14.0,Auston Matthews,Shooter,Toronto Maple Leafs,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:13:58Z,1,03:32,16:28,Goal,Backhand,78.0,-1.0,Zach Hyman,Scorer,Toronto Maple Leafs,Auston Matthews,Assist,Toronto Maple Leafs,Justin Holl,Assist,Toronto Maple Leafs,Sergei Bobrovsky,Goalie,Florida Panthers
2020-02-28T00:14:16Z,1,03:32,16:28,Faceoff,n/a,0.0,0.0,Erik Haula,Winner,Florida Panthers,Alexander Kerfoot,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:14:31Z,1,03:48,16:12,Hit,n/a,97.0,-10.0,Alexander Kerfoot,Hitter,Toronto Maple Leafs,Mike Matheson,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:15:21Z,1,04:12,15:48,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,William Nylander,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:15:47Z,1,04:19,15:41,Faceoff,n/a,69.0,22.0,Noel Acciari,Winner,Florida Panthers,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:16:03Z,1,04:28,15:32,Takeaway,n/a,18.0,2.0,Auston Matthews,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:16:07Z,1,04:32,15:28,Giveaway,n/a,80.0,15.0,William Nylander,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:16:38Z,1,05:03,14:57,Blocked Shot,n/a,-78.0,-10.0,John Tavares,Blocker,Toronto Maple Leafs,Brett Connolly,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:16:59Z,1,05:24,14:36,Hit,n/a,92.0,29.0,Frederik Gauthier,Hitter,Toronto Maple Leafs,Anton Stralman,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:17:15Z,1,05:41,14:19,Giveaway,n/a,-57.0,-38.0,Timothy Liljegren,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:17:29Z,1,05:55,14:05,Shot,Snap Shot,-37.0,0.0,Jonathan Huberdeau,Shooter,Florida Panthers,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:17:38Z,1,06:02,13:58,Blocked Shot,n/a,71.0,1.0,Aaron Ekblad,Blocker,Florida Panthers,Mitchell Marner,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:19:36Z,1,06:02,13:58,Faceoff,n/a,69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:20:00Z,1,06:10,13:50,Giveaway,n/a,97.0,14.0,Zach Hyman,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:20:04Z,1,06:13,13:47,Giveaway,n/a,78.0,11.0,MacKenzie Weegar,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:20:27Z,1,06:37,13:23,Blocked Shot,n/a,-81.0,0.0,Rasmus Sandin,Blocker,Toronto Maple Leafs,Noel Acciari,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:20:35Z,1,06:44,13:16,Giveaway,n/a,-84.0,17.0,Auston Matthews,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:20:44Z,1,06:54,13:06,Blocked Shot,n/a,-77.0,14.0,Auston Matthews,Blocker,Toronto Maple Leafs,Noel Acciari,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:21:17Z,1,07:23,12:37,Shot,Wrist Shot,-59.0,17.0,Frank Vatrano,Shooter,Florida Panthers,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-28T00:21:26Z,1,07:25,12:35,Goal,Wrist Shot,-64.0,-10.0,Mike Hoffman,Scorer,Florida Panthers,Frank Vatrano,Assist,Florida Panthers,Erik Haula,Assist,Florida Panthers,Frederik Andersen,Goalie,Toronto Maple Leafs
