Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-01T01:08:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:09:29Z,1,00:10,19:50,Faceoff,n/a,-69.0,22.0,Derek Stepan,Winner,Arizona Coyotes,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:09:41Z,1,00:16,19:44,Giveaway,n/a,-52.0,36.0,Lawson Crouse,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:09:46Z,1,00:21,19:39,Takeaway,n/a,-40.0,-36.0,Clayton Keller,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:10:00Z,1,00:33,19:27,Missed Shot,n/a,87.0,-10.0,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:10:26Z,1,00:37,19:23,Faceoff,n/a,-20.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:10:36Z,1,00:45,19:15,Giveaway,n/a,-85.0,31.0,Jordan Oesterle,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:11:32Z,1,01:24,18:36,Faceoff,n/a,0.0,0.0,Curtis Lazar,Winner,Buffalo Sabres,Barrett Hayton,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:11:42Z,1,01:29,18:31,Hit,n/a,-26.0,23.0,Oliver Ekman-Larsson,Hitter,Arizona Coyotes,Wayne Simmonds,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T01:12:01Z,1,01:49,18:11,Shot,Wrist Shot,-75.0,4.0,Wayne Simmonds,Shooter,Buffalo Sabres,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
