Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-01T21:10:48Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikael Backlund,Winner,Calgary Flames,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:11:55Z,1,01:08,18:52,Giveaway,n/a,10.0,34.0,Noah Hanifin,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:12:31Z,1,01:44,18:16,Hit,n/a,58.0,-12.0,Keith Yandle,Hitter,Florida Panthers,Erik Gustafsson,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:12:33Z,1,01:46,18:14,Shot,Slap Shot,38.0,-32.0,Derek Ryan,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:12:49Z,1,01:58,18:02,Hit,n/a,-5.0,3.0,Derek Forbort,Hitter,Calgary Flames,Dominic Toninato,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:13:07Z,1,02:18,17:42,Shot,Snap Shot,-46.0,-34.0,Lucas Wallmark,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:13:19Z,1,02:18,17:42,Faceoff,n/a,-69.0,-22.0,Lucas Wallmark,Winner,Florida Panthers,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:13:38Z,1,02:24,17:36,Missed Shot,n/a,-39.0,-18.0,MacKenzie Weegar,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:14:03Z,1,02:33,17:27,Faceoff,n/a,20.0,22.0,Mark Jankowski,Winner,Calgary Flames,Lucas Wallmark,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:14:19Z,1,02:45,17:15,Hit,n/a,99.0,7.0,Sam Bennett,Hitter,Calgary Flames,MacKenzie Weegar,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:14:29Z,1,02:53,17:07,Missed Shot,n/a,71.0,2.0,Sam Bennett,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:14:47Z,1,03:04,16:56,Penalty,Slashing,-7.0,-8.0,Mark Jankowski,PenaltyOn,Calgary Flames,Erik Haula,DrewBy,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:17Z,1,03:04,16:56,Faceoff,n/a,-69.0,-22.0,Elias Lindholm,Winner,Calgary Flames,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:17Z,1,03:09,16:51,Giveaway,n/a,-60.0,39.0,TJ Brodie,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:27Z,1,03:19,16:41,Missed Shot,n/a,-58.0,26.0,Mike Hoffman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:36Z,1,03:27,16:33,Shot,Slap Shot,-66.0,29.0,Mike Hoffman,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:47Z,1,03:28,16:32,Faceoff,n/a,-69.0,22.0,Mikael Backlund,Winner,Calgary Flames,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:15:59Z,1,03:34,16:26,Takeaway,n/a,-74.0,37.0,Mike Hoffman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:16:08Z,1,03:43,16:17,Missed Shot,n/a,-75.0,4.0,Aleksander Barkov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:16:34Z,1,03:43,16:17,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:16:39Z,1,03:52,16:08,Missed Shot,n/a,-42.0,16.0,Mike Hoffman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:16:51Z,1,03:53,16:07,Faceoff,n/a,-69.0,22.0,Aleksander Barkov,Winner,Florida Panthers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:17:13Z,1,04:08,15:52,Shot,Slap Shot,-42.0,33.0,Mike Hoffman,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:17:22Z,1,04:16,15:44,Blocked Shot,n/a,-67.0,31.0,Derek Ryan,Blocker,Calgary Flames,Mike Hoffman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:17:43Z,1,04:36,15:24,Shot,Slap Shot,-70.0,26.0,Mike Hoffman,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:18:10Z,1,04:36,15:24,Faceoff,n/a,-69.0,22.0,Lucas Wallmark,Winner,Florida Panthers,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:18:31Z,1,04:52,15:08,Blocked Shot,n/a,-73.0,12.0,Elias Lindholm,Blocker,Calgary Flames,Brett Connolly,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:18:37Z,1,04:53,15:07,Penalty,Tripping,-52.0,-33.0,Brett Connolly,PenaltyOn,Florida Panthers,Elias Lindholm,DrewBy,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:19:07Z,1,04:53,15:07,Faceoff,n/a,69.0,22.0,Sean Monahan,Winner,Calgary Flames,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:19:06Z,1,04:58,15:02,Hit,n/a,51.0,40.0,Noel Acciari,Hitter,Florida Panthers,Erik Gustafsson,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:19:17Z,1,05:09,14:51,Giveaway,n/a,-61.0,34.0,Erik Haula,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:19:42Z,1,05:17,14:43,Takeaway,n/a,25.0,-31.0,Noel Acciari,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:19:42Z,1,05:34,14:26,Blocked Shot,n/a,72.0,-10.0,Noel Acciari,Blocker,Florida Panthers,Johnny Gaudreau,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:20:07Z,1,05:48,14:12,Blocked Shot,n/a,80.0,-11.0,Riley Stillman,Blocker,Florida Panthers,Matthew Tkachuk,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:20:01Z,1,05:53,14:07,Giveaway,n/a,34.0,-28.0,Colton Sceviour,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:20:18Z,1,06:10,13:50,Blocked Shot,n/a,76.0,10.0,Lucas Wallmark,Blocker,Florida Panthers,Mark Giordano,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:20:32Z,1,06:21,13:39,Goal,Snap Shot,60.0,23.0,Johnny Gaudreau,Scorer,Calgary Flames,Elias Lindholm,Assist,Calgary Flames,Mark Giordano,Assist,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers
2020-03-01T21:21:12Z,1,06:21,13:39,Faceoff,n/a,0.0,0.0,Derek Ryan,Winner,Calgary Flames,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:21:39Z,1,06:34,13:26,Hit,n/a,98.0,-8.0,Milan Lucic,Hitter,Calgary Flames,Sam Montembeault,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:22:08Z,1,07:03,12:57,Blocked Shot,n/a,-84.0,-12.0,Rasmus Andersson,Blocker,Calgary Flames,Jonathan Huberdeau,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:22:12Z,1,07:08,12:52,Giveaway,n/a,-95.0,26.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:22:18Z,1,07:14,12:46,Shot,Tip-In,-74.0,0.0,Jonathan Huberdeau,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:22:22Z,1,07:18,12:42,Giveaway,n/a,-72.0,-36.0,Rasmus Andersson,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:22:34Z,1,07:30,12:30,Shot,Tip-In,-73.0,2.0,Jonathan Huberdeau,Shooter,Florida Panthers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:23:09Z,1,07:43,12:17,Faceoff,n/a,-69.0,22.0,Derek Ryan,Winner,Calgary Flames,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:23:17Z,1,07:49,12:11,Giveaway,n/a,-36.0,24.0,Noah Hanifin,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:23:29Z,1,08:01,11:59,Hit,n/a,-90.0,29.0,Erik Gustafsson,Hitter,Calgary Flames,Mike Hoffman,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:23:35Z,1,08:07,11:53,Hit,n/a,-97.0,6.0,Derek Forbort,Hitter,Calgary Flames,Noel Acciari,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:14Z,1,08:37,11:23,Faceoff,n/a,69.0,22.0,Sean Monahan,Winner,Calgary Flames,Colton Sceviour,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:27Z,1,08:43,11:17,Takeaway,n/a,33.0,-4.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:36Z,1,08:52,11:08,Giveaway,n/a,-46.0,6.0,Aleksander Barkov,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:44Z,1,09:00,11:00,Takeaway,n/a,-94.0,8.0,Aleksander Barkov,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:49Z,1,09:05,10:55,Giveaway,n/a,-32.0,1.0,Mark Giordano,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:26:54Z,1,09:10,10:50,Hit,n/a,-95.0,21.0,Aleksander Barkov,Hitter,Florida Panthers,Mark Giordano,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:27:40Z,1,09:56,10:04,Blocked Shot,n/a,-66.0,16.0,Andrew Mangiapane,Blocker,Calgary Flames,Anton Stralman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:28:03Z,1,10:20,09:40,Shot,Snap Shot,51.0,4.0,Andrew Mangiapane,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:28:19Z,1,10:36,09:24,Hit,n/a,-70.0,-40.0,Colton Sceviour,Hitter,Florida Panthers,Rasmus Andersson,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:28:34Z,1,10:50,09:10,Hit,n/a,36.0,-16.0,Lucas Wallmark,Hitter,Florida Panthers,Mark Jankowski,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:28:45Z,1,11:00,09:00,Blocked Shot,n/a,59.0,-14.0,Colton Sceviour,Blocker,Florida Panthers,Erik Gustafsson,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:30:38Z,1,11:00,09:00,Faceoff,n/a,69.0,-22.0,Lucas Wallmark,Winner,Florida Panthers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:31:11Z,1,11:12,08:48,Blocked Shot,n/a,-78.0,20.0,Mark Giordano,Blocker,Calgary Flames,Lucas Wallmark,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:31:15Z,1,11:15,08:45,Hit,n/a,-98.0,-7.0,Mark Giordano,Hitter,Calgary Flames,Lucas Wallmark,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:31:44Z,1,11:45,08:15,Takeaway,n/a,6.0,-27.0,MacKenzie Weegar,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:32:08Z,1,12:08,07:52,Giveaway,n/a,-56.0,40.0,Sean Monahan,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:32:17Z,1,12:16,07:44,Shot,Backhand,77.0,-7.0,Johnny Gaudreau,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:32:28Z,1,12:17,07:43,Penalty,PS - Hooking on breakaway,80.0,-2.0,MacKenzie Weegar,PenaltyOn,Florida Panthers,Johnny Gaudreau,DrewBy,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:32:29Z,1,12:17,07:43,Shot,Backhand,80.0,-7.0,Johnny Gaudreau,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:34:48Z,1,12:17,07:43,Faceoff,n/a,69.0,-22.0,Erik Haula,Winner,Florida Panthers,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:34:01Z,1,12:30,07:30,Faceoff,n/a,-20.0,22.0,Mikael Backlund,Winner,Calgary Flames,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:34:19Z,1,12:44,07:16,Shot,Slap Shot,60.0,19.0,Matthew Tkachuk,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:34:33Z,1,12:58,07:02,Giveaway,n/a,-34.0,-7.0,Riley Stillman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:35:18Z,1,13:29,06:31,Faceoff,n/a,69.0,22.0,Mark Jankowski,Winner,Calgary Flames,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:35:38Z,1,13:41,06:19,Missed Shot,n/a,68.0,4.0,Mark Jankowski,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:35:46Z,1,13:46,06:14,Giveaway,n/a,-38.0,-8.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:35:55Z,1,13:55,06:05,Giveaway,n/a,61.0,38.0,Sam Montembeault,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:36:07Z,1,14:09,05:51,Shot,Snap Shot,53.0,18.0,Mark Giordano,Shooter,Calgary Flames,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:37:58Z,1,14:09,05:51,Faceoff,n/a,69.0,22.0,Derek Ryan,Winner,Calgary Flames,Colton Sceviour,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:38:25Z,1,14:24,05:36,Takeaway,n/a,40.0,40.0,Aaron Ekblad,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:38:38Z,1,14:36,05:24,Blocked Shot,n/a,70.0,-10.0,Mark Pysyk,Blocker,Florida Panthers,Derek Ryan,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:38:50Z,1,14:49,05:11,Giveaway,n/a,48.0,38.0,Milan Lucic,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:01Z,1,14:59,05:01,Giveaway,n/a,-39.0,-21.0,Riley Stillman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:08Z,1,15:06,04:54,Hit,n/a,94.0,-19.0,Anton Stralman,Hitter,Florida Panthers,Dillon Dube,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:13Z,1,15:12,04:48,Blocked Shot,n/a,52.0,18.0,Mark Pysyk,Blocker,Florida Panthers,Noah Hanifin,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:21Z,1,15:19,04:41,Hit,n/a,81.0,41.0,Mark Pysyk,Hitter,Florida Panthers,Noah Hanifin,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:35Z,1,15:33,04:27,Blocked Shot,n/a,69.0,-16.0,Riley Stillman,Blocker,Florida Panthers,Matthew Tkachuk,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:39:46Z,1,15:44,04:16,Missed Shot,n/a,52.0,9.0,Mikael Backlund,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T21:40:16Z,1,15:44,04:16,Faceoff,n/a,69.0,22.0,Noel Acciari,Winner,Florida Panthers,Andrew Mangiapane,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
