Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-01T00:14:27Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,John Tavares,Winner,Toronto Maple Leafs,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:15:59Z,1,00:25,19:35,Hit,n/a,98.0,-4.0,Bo Horvat,Hitter,Vancouver Canucks,Alexander Kerfoot,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:16:41Z,1,01:34,18:26,Missed Shot,n/a,-78.0,5.0,Zach Hyman,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:17:20Z,1,02:12,17:48,Giveaway,n/a,6.0,-12.0,Martin Marincin,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:17:40Z,1,02:32,17:28,Hit,n/a,-76.0,-37.0,Tyler Motte,Hitter,Vancouver Canucks,Kasperi Kapanen,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:17:49Z,1,02:40,17:20,Hit,n/a,-97.0,-17.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Frederik Gauthier,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:17:54Z,1,02:45,17:15,Goal,Wrist Shot,-50.0,8.0,Frederik Gauthier,Scorer,Toronto Maple Leafs,Tyson Barrie,Assist,Toronto Maple Leafs,Rasmus Sandin,Assist,Toronto Maple Leafs,Thatcher Demko,Goalie,Vancouver Canucks
2020-03-01T00:18:32Z,1,02:45,17:15,Faceoff,n/a,0.0,0.0,Frederik Gauthier,Winner,Toronto Maple Leafs,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:18:54Z,1,03:05,16:55,Hit,n/a,96.0,-8.0,Brandon Sutter,Hitter,Vancouver Canucks,Denis Malgin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:19:42Z,1,03:30,16:30,Shot,Snap Shot,3.0,2.0,Martin Marincin,Shooter,Toronto Maple Leafs,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:19:52Z,1,04:01,15:59,Giveaway,n/a,52.0,-39.0,Tanner Pearson,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:20:12Z,1,04:25,15:35,Hit,n/a,-82.0,-38.0,Alexander Edler,Hitter,Vancouver Canucks,John Tavares,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:20:21Z,1,04:33,15:27,Blocked Shot,n/a,-68.0,20.0,Elias Pettersson,Blocker,Vancouver Canucks,Justin Holl,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:20:32Z,1,04:45,15:15,Shot,Wrist Shot,-31.0,-18.0,Travis Dermott,Shooter,Toronto Maple Leafs,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:20:57Z,1,05:10,14:50,Hit,n/a,89.0,33.0,Elias Pettersson,Hitter,Vancouver Canucks,Auston Matthews,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:21:02Z,1,05:14,14:46,Blocked Shot,n/a,52.0,-11.0,Zach Hyman,Blocker,Toronto Maple Leafs,Christopher Tanev,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:21:33Z,1,05:19,14:41,Faceoff,n/a,20.0,-22.0,Jay Beagle,Winner,Vancouver Canucks,Jason Spezza,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:22:11Z,1,05:25,14:35,Hit,n/a,99.0,-11.0,Jay Beagle,Hitter,Vancouver Canucks,Rasmus Sandin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-01T00:21:48Z,1,05:28,14:32,Goal,Snap Shot,75.0,6.0,Tyler Motte,Scorer,Vancouver Canucks,Brandon Sutter,Assist,Vancouver Canucks,Jay Beagle,Assist,Vancouver Canucks,Frederik Andersen,Goalie,Toronto Maple Leafs
