Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-02T00:10:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,J.T. Miller,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:10:39Z,1,00:14,19:46,Shot,Snap Shot,-49.0,29.0,J.T. Miller,Shooter,Vancouver Canucks,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:11:02Z,1,00:14,19:46,Faceoff,n/a,-69.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:11:10Z,1,00:19,19:41,Blocked Shot,n/a,-55.0,20.0,Stefan Matteau,Blocker,Columbus Blue Jackets,Christopher Tanev,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:11:34Z,1,00:41,19:19,Missed Shot,n/a,-51.0,-17.0,Tanner Pearson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:11:39Z,1,00:46,19:14,Shot,Slap Shot,-39.0,-26.0,Quinn Hughes,Shooter,Vancouver Canucks,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:12:04Z,1,00:46,19:14,Penalty,Slashing,-68.0,-13.0,Riley Nash,PenaltyOn,Columbus Blue Jackets,Tanner Pearson,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:12:35Z,1,00:46,19:14,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T00:12:37Z,1,01:00,19:00,Goal,Tip-In,-81.0,2.0,Bo Horvat,Scorer,Vancouver Canucks,Elias Pettersson,Assist,Vancouver Canucks,J.T. Miller,Assist,Vancouver Canucks,Joonas Korpisalo,Goalie,Columbus Blue Jackets
2020-03-02T00:13:13Z,1,01:00,19:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
