Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-02T03:45:06Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:46:20Z,1,00:15,19:45,Hit,n/a,72.0,40.0,Tomas Nosek,Hitter,Vegas Golden Knights,Dustin Brown,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:46:42Z,1,00:26,19:34,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:48:04Z,1,01:20,18:40,Takeaway,n/a,-82.0,-38.0,William Karlsson,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:48:09Z,1,01:25,18:35,Blocked Shot,n/a,-63.0,13.0,Matt Roy,Blocker,Los Angeles Kings,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:48:20Z,1,01:37,18:23,Hit,n/a,-6.0,-40.0,Dustin Brown,Hitter,Los Angeles Kings,Chandler Stephenson,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:48:41Z,1,01:57,18:03,Blocked Shot,n/a,80.0,-1.0,Zach Whitecloud,Blocker,Vegas Golden Knights,Ben Hutton,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:48:48Z,1,02:01,17:59,Goal,Wrist Shot,83.0,6.0,Anze Kopitar,Scorer,Los Angeles Kings,Alex Iafallo,Assist,Los Angeles Kings,Ben Hutton,Assist,Los Angeles Kings,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2020-03-02T03:49:22Z,1,02:01,17:59,Faceoff,n/a,0.0,0.0,Gabriel Vilardi,Winner,Los Angeles Kings,Nick Cousins,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-02T03:50:11Z,1,02:29,17:31,Faceoff,n/a,69.0,22.0,Nikolai Prokhorkin,Winner,Los Angeles Kings,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
