Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-03T01:08:00Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Connor McDavid,Winner,Edmonton Oilers,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:12:09Z,1,00:20,19:40,Shot,Snap Shot,47.0,31.0,Ryan Johansen,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:13:14Z,1,01:25,18:35,Missed Shot,n/a,-45.0,-25.0,Caleb Jones,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:13:19Z,1,01:26,18:34,Shot,Snap Shot,-39.0,25.0,Adam Larsson,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:13:45Z,1,01:26,18:34,Faceoff,n/a,-69.0,22.0,Kyle Turris,Winner,Nashville Predators,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:14:08Z,1,01:42,18:18,Takeaway,n/a,43.0,16.0,Riley Sheahan,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:14:05Z,1,01:44,18:16,Giveaway,n/a,35.0,10.0,Riley Sheahan,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:14:20Z,1,01:59,18:01,Shot,Wrist Shot,73.0,-33.0,Kyle Turris,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:14:27Z,1,02:06,17:54,Giveaway,n/a,54.0,19.0,Zack Kassian,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:14:52Z,1,02:31,17:29,Shot,Wrist Shot,-66.0,-30.0,Darnell Nurse,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:15:20Z,1,02:59,17:01,Missed Shot,n/a,-72.0,27.0,Gaetan Haas,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:16:02Z,1,03:41,16:19,Hit,n/a,73.0,39.0,Adam Larsson,Hitter,Edmonton Oilers,Colin Blackwell,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:16:15Z,1,03:54,16:06,Shot,Backhand,-77.0,20.0,Tyler Ennis,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:16:38Z,1,03:54,16:06,Faceoff,n/a,-69.0,22.0,Nick Bonino,Winner,Nashville Predators,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:16:58Z,1,04:13,15:47,Missed Shot,n/a,76.0,16.0,Craig Smith,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:05Z,1,04:20,15:40,Blocked Shot,n/a,74.0,-4.0,Matt Benning,Blocker,Edmonton Oilers,Ryan Ellis,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:27Z,1,04:42,15:18,Missed Shot,n/a,53.0,13.0,Filip Forsberg,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:33Z,1,04:48,15:12,Shot,Wrist Shot,45.0,-25.0,Dante Fabbro,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:43Z,1,04:58,15:02,Shot,Deflected,-78.0,7.0,Zack Kassian,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:48Z,1,05:03,14:57,Hit,n/a,-88.0,-29.0,Zack Kassian,Hitter,Edmonton Oilers,Mikael Granlund,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:17:55Z,1,05:10,14:50,Takeaway,n/a,-58.0,-2.0,Filip Forsberg,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:18:47Z,1,05:55,14:05,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:19:27Z,1,06:15,13:45,Shot,Backhand,-84.0,-8.0,Tyler Ennis,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:19:35Z,1,06:23,13:37,Goal,Wrist Shot,-78.0,0.0,Josh Archibald,Scorer,Edmonton Oilers,Tyler Ennis,Assist,Edmonton Oilers,Connor McDavid,Assist,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators
2020-03-03T01:20:18Z,1,06:23,13:37,Faceoff,n/a,0.0,0.0,Gaetan Haas,Winner,Edmonton Oilers,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:20:32Z,1,06:40,13:20,Hit,n/a,61.0,11.0,Matt Benning,Hitter,Edmonton Oilers,Colin Blackwell,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:20:36Z,1,06:43,13:17,Missed Shot,n/a,59.0,12.0,Colton Sissons,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:20:51Z,1,06:58,13:02,Hit,n/a,39.0,-38.0,Colin Blackwell,Hitter,Nashville Predators,Gaetan Haas,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:21:09Z,1,07:17,12:43,Shot,Slap Shot,7.0,-28.0,Ryan Ellis,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:21:16Z,1,07:24,12:36,Giveaway,n/a,96.0,10.0,Kris Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:21:20Z,1,07:27,12:33,Blocked Shot,n/a,74.0,-8.0,Kris Russell,Blocker,Edmonton Oilers,Rocco Grimaldi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-03T01:21:53Z,1,08:01,11:59,Takeaway,n/a,84.0,31.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
