Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-04T00:08:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:08:54Z,1,00:41,19:19,Shot,Wrist Shot,30.0,27.0,Jason Zucker,Shooter,Pittsburgh Penguins,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:09:03Z,1,00:48,19:12,Goal,Snap Shot,45.0,-21.0,John Marino,Scorer,Pittsburgh Penguins,Evgeni Malkin,Assist,Pittsburgh Penguins,Jason Zucker,Assist,Pittsburgh Penguins,Craig Anderson,Goalie,Ottawa Senators
2020-03-04T00:09:32Z,1,00:48,19:12,Faceoff,n/a,0.0,0.0,Artem Anisimov,Winner,Ottawa Senators,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:09:51Z,1,01:00,19:00,Hit,n/a,-97.0,3.0,Artem Anisimov,Hitter,Ottawa Senators,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:10:09Z,1,01:02,18:58,Shot,Wrist Shot,-76.0,23.0,Brady Tkachuk,Shooter,Ottawa Senators,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:09:54Z,1,01:03,18:57,Hit,n/a,-92.0,29.0,Bobby Ryan,Hitter,Ottawa Senators,Evgeni Malkin,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:11:01Z,1,01:03,18:57,Faceoff,n/a,-20.0,22.0,Colin White,Winner,Ottawa Senators,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:11:13Z,1,01:13,18:47,Hit,n/a,-98.0,-16.0,Nick Paul,Hitter,Ottawa Senators,Justin Schultz,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:11:36Z,1,01:25,18:35,Faceoff,n/a,69.0,22.0,Colin White,Winner,Ottawa Senators,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T00:12:01Z,1,01:39,18:21,Goal,Tip-In,80.0,4.0,Conor Sheary,Scorer,Pittsburgh Penguins,Brian Dumoulin,Assist,Pittsburgh Penguins,Kris Letang,Assist,Pittsburgh Penguins,Craig Anderson,Goalie,Ottawa Senators
